item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-N-1705,Ancient Alternating Archives Dawnforge Tempered Junkyard Bracers of Flow Retention,Standard / Non-Godly,,35,Ancient,7,545,Armor,Wrists,Bracers,Heavy,,0,0,186,30,153,Focus,Flux Charge Gain,Focus,Scrap-Tek,Flow Retention,High-tier non-unique affix: +4 Flow Retention stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Alternating Archives; one roll per discovery state, no Godly chance.",The Alternating Archives,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 35 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1753,Ancient Emerald Canopy Sanctuary Astral Bone Scavenger Crossbow of Siphon Guard,Standard / Non-Godly,,36,Ancient,7,554,Weapon,Ranged Weapon,Crossbow,None,Medium,176,303,0,0,66,Protocol Rating,Might,Stagger Damage,Scrap-Tek,Siphon Guard,High-tier non-unique affix: +4 Siphon Guard stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Emerald Canopy Sanctuary; one roll per discovery state, no Godly chance.",The Emerald Canopy Sanctuary,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 36 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-1776,Legend-Wrought Burning Playa Dawnforge Tempered Thorn Pauldrons of Mirror Deflection,Standard / Non-Godly,,36,Legend,6,473,Armor,Shoulders,Pauldrons,Heavy,,0,0,279,45,132,Evolution Point Gain,Focus,Cooldown Recovery,Sylvan Warden,Mirror Deflection,High-tier non-unique affix: +3 Mirror Deflection stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Burning Playa; one roll per discovery state, no Godly chance.",The Burning Playa,World Secret,18,Legend Shard,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 36 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1800,Myth-Sung Marlowe Editing Protocol Dawnforge Tempered Tempo Aether Focus of Thermal Shock,Standard / Non-Godly,,36,Mythological,8,653,Weapon,Off Hand Focus,Aether Focus,None,Medium,143,252,0,0,78,Altitude Charge Gain,Kinetic Charge,Focus,Resonant,Thermal Shock,High-tier non-unique affix: +5 Thermal Shock stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Marlowe Editing Protocol; one roll per discovery state, no Godly chance.",The Marlowe Editing Protocol,World Secret,2,Mythic Starwell Fragment,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 36 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-1805,Ancient Emerald Canopy Sanctuary Eclipse-Hardened Aether Gauntlets of Tempo Control,Standard / Non-Godly,,37,Ancient,7,564,Armor,Hands,Gauntlets,Heavy,,0,0,262,42,158,Armor Pierce,Shield Break,Cooldown Recovery,Flux-Caster,Tempo Control,High-tier non-unique affix: +4 Tempo Control stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Emerald Canopy Sanctuary; one roll per discovery state, no Godly chance.",The Emerald Canopy Sanctuary,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 37 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1853,Ancient Central Pillar Void-Touched Ignition Cloak of Null Ward,Standard / Non-Godly,,38,Ancient,7,581,Armor,Back,Cloak,Heavy,,0,0,162,26,163,Threat Control,Fortitude,Command Point Gain,Flux-Caster,Null Ward,High-tier non-unique affix: +4 Null Ward stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Central Pillar; one roll per discovery state, no Godly chance.",The Central Pillar / Star-Elevator Core,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 38 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1876,Legend-Wrought Zenith Spire Eclipse-Hardened Acoustic Coat of Flow Retention,Standard / Non-Godly,,38,Legend,6,499,Armor,Chest,Coat,Heavy,,0,0,325,52,140,Might,Kinetic Charge,Verdant Point Gain,Resonant,Flow Retention,High-tier non-unique affix: +3 Flow Retention stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Zenith Spire; one roll per discovery state, no Godly chance.",The Zenith Spire,World Secret,18,Legend Shard,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 38 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1900,Myth-Sung Urban Sprawl Eclipse-Hardened Asteroid Twin Daggers of Mirror Deflection,Standard / Non-Godly,,38,Mythological,8,688,Weapon,Dual Weapon,Twin Daggers,None,Very Fast,163,288,0,0,83,Focus,Altitude Charge Gain,Cooldown Recovery,Kinetic Juggernaut,Mirror Deflection,High-tier non-unique affix: +5 Mirror Deflection stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Urban Sprawl; one roll per discovery state, no Godly chance.",The Urban Sprawl,World Secret,2,Mythic Starwell Fragment,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 38 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-1905,Ancient Urban Sprawl Dreamglass Den Pauldrons of Sevenfold Counter,Standard / Non-Godly,,39,Ancient,7,594,Armor,Shoulders,Pauldrons,Heavy,,0,0,350,56,166,Evolution Point Gain,Threat Control,Verdant Point Gain,Packmaster,Sevenfold Counter,High-tier non-unique affix: +4 Sevenfold Counter stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Urban Sprawl; one roll per discovery state, no Godly chance.",The Urban Sprawl,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 39 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1953,Ancient Lich's Court Starwell Alloy Heavy-Chewer Legwraps of Armor Sunder,Standard / Non-Godly,,40,Ancient,7,611,Armor,Legs,Legwraps,Heavy,,0,0,265,43,171,Flux Charge Gain,Evolution Point Gain,Aether,Packmaster,Armor Sunder,High-tier non-unique affix: +4 Armor Sunder stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Lich's Court; one roll per discovery state, no Godly chance.",The Lich's Court,World Secret,6,Ancient Memory-Iron,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 40 armor tuned for late band enemies; source never requires fighting above the item level.
DF-N-1976,Legend-Wrought Molten Forge Dreamglass Kinetic Magnetic Grapple Gauntlet of Tempo Control,Standard / Non-Godly,,40,Legend,6,530,Weapon,Arm Weapon,Magnetic Grapple Gauntlet,None,Fast,147,245,0,0,64,Critical Chance,Altitude Charge Gain,Kinetic Charge,Kinetic Juggernaut,Tempo Control,High-tier non-unique affix: +3 Tempo Control stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Molten Forge; one roll per discovery state, no Godly chance.",The Molten Forge,World Secret,18,Legend Shard,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 40 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-1987,Supercharged Lunar Readiness Base Void-Touched Chrono Greatsword of Vine Pull,Standard / Non-Godly,,40,Super,5,448,Weapon,Two-Hand Weapon,Greatsword,None,Slow,183,299,0,0,54,Aether,Altitude Charge Gain,Shield Break,Phantom-Shift,Vine Pull,Super affix: minor Vine Pull trigger after a perfect parry or vault.,World Secret,"Hidden atlas secret in Lunar Readiness Base; one roll per discovery state, no Godly chance.",The Lunar Readiness Base,World Secret,80,Superdense Aether Lattice,Tradeable until equipped,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 40 weapon tuned for late band enemies; source never requires fighting above the item level.
DF-N-2000,Myth-Sung Zenith Spire Dreamglass Aether-Edit Boots of Flow Retention,Standard / Non-Godly,,40,Mythological,8,719,Armor,Feet,Boots,Heavy,,0,0,290,47,201,Armor Pierce,Critical Chance,Verdant Point Gain,Protocol Weaver,Flow Retention,High-tier non-unique affix: +5 Flow Retention stack(s) after a 25-hit combo; cannot exceed Godly unique mechanics.,World Secret,"Hidden atlas secret in Zenith Spire; one roll per discovery state, no Godly chance.",The Zenith Spire,World Secret,2,Mythic Starwell Fragment,Bind on pickup / limited trade window,Post-20 item; high rarities remain scarce and do not replace farming loops.,Level 40 armor tuned for late band enemies; source never requires fighting above the item level.
