item_id,item_name,uniqueness_type,godly_set,required_level,rarity,rarity_rank,item_power,item_category,slot,gear_family,armor_weight_class,weapon_speed,min_damage,max_damage,armor_value,shield_value,health_bonus,primary_stat,secondary_stat,tertiary_stat,class_affinity,combat_hook,affix_or_unique_effect,source_type,source_detail,world_location,source_origin,drop_weight,salvage_output,trade_rule,economy_note,design_note
DF-G-011,Dawnforge Sovereign: Dawnforge Crown of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1064,Armor,Head,Crown,Mythic Light,,0,0,578,100,366,Altitude Charge Gain,Verdant Point Gain,Critical Chance,Flux-Caster,Dawnforge Resolve,"Godly unique: fractures evolution stacks when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-012,Dawnforge Sovereign: Dawnforge Cuirass of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1056,Armor,Chest,Cuirass,Mythic Heavy,,0,0,1072,184,362,Scrap Charge Gain,Flux Charge Gain,Stagger Damage,Flux-Caster,Dawnforge Resolve,"Godly unique: harmonizes thermal primers when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-013,Dawnforge Sovereign: Dawnforge Gauntlets of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1059,Armor,Hands,Gauntlets,Mythic Light,,0,0,576,100,363,Verdant Point Gain,Critical Chance,Armor Pierce,Flux-Caster,Dawnforge Resolve,"Godly unique: anchors void rifts when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-014,Dawnforge Sovereign: Dawnforge Greaves of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1062,Armor,Legs,Greaves,Mythic Heavy,,0,0,578,102,364,Flux Charge Gain,Stagger Damage,Shield Break,Flux-Caster,Dawnforge Resolve,"Godly unique: transmutes tether webs when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-015,Dawnforge Sovereign: Dawnforge Boots of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1065,Armor,Feet,Boots,Mythic Light,,0,0,580,102,364,Critical Chance,Armor Pierce,Cooldown Recovery,Flux-Caster,Dawnforge Resolve,"Godly unique: amplifies critical windows when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-016,Dawnforge Sovereign: Dawnforge Blade of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1084,Weapon,Two-Hand Weapon,Greatsword,None,Slow,437,823,0,0,137,Armor Pierce,Cooldown Recovery,Perfect Parry Window,Flux-Caster,Dawnforge Resolve,"Godly unique: amplifies void rifts after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-017,Dawnforge Sovereign: Dawnforge Staff of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1087,Weapon,Two-Hand Focus,Flux Staff,None,Medium,360,679,0,0,138,Shield Break,Combo Decay Resistance,Threat Control,Flux-Caster,Dawnforge Resolve,"Godly unique: mirrors tether webs after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-018,Dawnforge Sovereign: Dawnforge Lance of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1079,Weapon,Two-Hand Weapon,Gravity Lance,None,Medium,382,719,0,0,138,Cooldown Recovery,Perfect Parry Window,Might,Flux-Caster,Dawnforge Resolve,"Godly unique: detonates critical windows after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-019,Dawnforge Sovereign: Dawnforge Edge of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1082,Weapon,Main Hand,Protocol Blade,None,Medium,343,644,0,0,140,Combo Decay Resistance,Threat Control,Agility,Flux-Caster,Dawnforge Resolve,"Godly unique: rewrites combo decay after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-020,Dawnforge Sovereign: Dawnforge Focus of Dawnforge Resolve,Godly Unique,Dawnforge Sovereign,40,Godly,9,1085,Weapon,Main Hand,Data-Katana,None,Fast,331,621,0,0,141,Perfect Parry Window,Might,Focus,Flux-Caster,Dawnforge Resolve,"Godly unique: overclocks boss armor after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Dawnforge challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The On-Demand Arteries,Dawnforge,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-021,Astral Sovereign Reliquary: Astral Sovereign Crown of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1065,Armor,Head,Crown,Mythic Light,,0,0,577,98,368,Perfect Parry Window,Might,Focus,Orbital Striker,Low-Gravity Lift,"Godly unique: harmonizes void rifts when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-022,Astral Sovereign Reliquary: Astral Sovereign Cuirass of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1068,Armor,Chest,Cuirass,Mythic Heavy,,0,0,1082,186,370,Threat Control,Agility,Aether,Orbital Striker,Low-Gravity Lift,"Godly unique: anchors tether webs when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-023,Astral Sovereign Reliquary: Astral Sovereign Gauntlets of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1060,Armor,Hands,Gauntlets,Mythic Light,,0,0,576,100,366,Might,Focus,Fortitude,Orbital Striker,Low-Gravity Lift,"Godly unique: transmutes critical windows when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-024,Astral Sovereign Reliquary: Astral Sovereign Greaves of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1063,Armor,Legs,Greaves,Mythic Heavy,,0,0,578,102,367,Agility,Aether,Resonance,Orbital Striker,Low-Gravity Lift,"Godly unique: amplifies combo decay when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-025,Astral Sovereign Reliquary: Astral Sovereign Boots of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1066,Armor,Feet,Boots,Mythic Light,,0,0,580,102,368,Focus,Fortitude,Kinetic Charge,Orbital Striker,Low-Gravity Lift,"Godly unique: mirrors boss armor when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-026,Astral Sovereign Reliquary: Astral Sovereign Blade of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1086,Weapon,Two-Hand Weapon,Greatsword,None,Slow,436,824,0,0,137,Fortitude,Kinetic Charge,Evolution Point Gain,Orbital Striker,Low-Gravity Lift,"Godly unique: mirrors combo decay after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-027,Astral Sovereign Reliquary: Astral Sovereign Staff of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1089,Weapon,Two-Hand Focus,Flux Staff,None,Medium,360,679,0,0,138,Resonance,Protocol Rating,Command Point Gain,Orbital Striker,Low-Gravity Lift,"Godly unique: detonates boss armor after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-028,Astral Sovereign Reliquary: Astral Sovereign Lance of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1092,Weapon,Two-Hand Weapon,Gravity Lance,None,Medium,387,727,0,0,139,Kinetic Charge,Evolution Point Gain,Altitude Charge Gain,Orbital Striker,Low-Gravity Lift,"Godly unique: rewrites zero-G lanes after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-029,Astral Sovereign Reliquary: Astral Sovereign Edge of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1084,Weapon,Main Hand,Protocol Blade,None,Medium,343,645,0,0,139,Protocol Rating,Command Point Gain,Scrap Charge Gain,Orbital Striker,Low-Gravity Lift,"Godly unique: overclocks aether shields after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-030,Astral Sovereign Reliquary: Astral Sovereign Focus of Low-Gravity Lift,Godly Unique,Astral Sovereign Reliquary,40,Godly,9,1087,Weapon,Main Hand,Data-Katana,None,Fast,331,622,0,0,141,Evolution Point Gain,Altitude Charge Gain,Verdant Point Gain,Orbital Striker,Low-Gravity Lift,"Godly unique: suspends enemy aggro after a perfect parry, vault, aerial juggle, or 100x combo trigger. Effect is exclusive to this named item.",Godly Unique Source,"Level-40 capstone-only weapon from Astral Sovereign challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Pachyderm Sanctuaries,Astral Sovereign,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-031,Syndicate Lich Court: Syndicate Lich Crown of Null Ward,Godly Unique,Syndicate Lich Court,40,Godly,9,1066,Armor,Head,Crown,Mythic Light,,0,0,577,98,372,Evolution Point Gain,Altitude Charge Gain,Verdant Point Gain,Phantom-Shift,Null Ward,"Godly unique: anchors critical windows when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Syndicate Lich challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Evolution Arenas,Syndicate Lich,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
DF-G-032,Syndicate Lich Court: Syndicate Lich Cuirass of Null Ward,Godly Unique,Syndicate Lich Court,40,Godly,9,1069,Armor,Chest,Cuirass,Mythic Heavy,,0,0,1081,186,372,Command Point Gain,Scrap Charge Gain,Flux Charge Gain,Phantom-Shift,Null Ward,"Godly unique: transmutes combo decay when the player sustains a 100x combo or defeats a level-40 elite without dropping flow. Effect is named, non-stackable, and never appears on non-Godly gear.",Godly Unique Source,"Level-40 capstone-only reward from Syndicate Lich challenge chain; not in shops, normal chests, normal monster drops, or pre-40 loot tables.",The Evolution Arenas,Syndicate Lich,0,Unsplittable Dawnforge Singularity,Account-bound / cannot be traded / cannot be sold to vendors,"One of exactly 200 Godly uniques; prestige, build-defining, and non-farmable through normal leveling loops.",Required level 40 only; unique power is capped by non-stacking named effects and strict acquisition locks.
