id,name,race,rank,rank_title,role,squad,ship_assignment,model_file,visual_notes
SW_NPC_011,Kael Quillspire,Emberling,2,Wind Scout,Cloudcourt mediator,Gale Lanterns,Wisp Runner,assets/glb/npcs/SW_NPC_011_kael_quillspire.glb,"Emberling Sky Warden uniform, rank 2 Wind Scout, role marker: Cloudcourt mediator"
SW_NPC_012,Luma Voidson,Glass Nomad,2,Wind Scout,High-altitude scout,Gale Lanterns,Cloudlace Courier,assets/glb/npcs/SW_NPC_012_luma_voidson.glb,"Glass Nomad Sky Warden uniform, rank 2 Wind Scout, role marker: High-altitude scout"
SW_NPC_013,Mavik Driftforge,Verdant Goliath,2,Wind Scout,Aether cartographer,Gale Lanterns,Rainneedle Patrol Skiff,assets/glb/npcs/SW_NPC_013_mavik_driftforge.glb,"Verdant Goliath Sky Warden uniform, rank 2 Wind Scout, role marker: Aether cartographer"
SW_NPC_014,Nyra Aethermark,Void-Touched,2,Wind Scout,Hurricane shieldbearer,Gale Lanterns,Skyhook Cutter,assets/glb/npcs/SW_NPC_014_nyra_aethermark.glb,"Void-Touched Sky Warden uniform, rank 2 Wind Scout, role marker: Hurricane shieldbearer"
SW_NPC_015,Orren Stormvale,Coral Merrow,3,Aether Deckhand,Wing-pack duelist,Thunderline Cohort,Mercy Barque,assets/glb/npcs/SW_NPC_015_orren_stormvale.glb,"Coral Merrow Sky Warden uniform, rank 3 Aether Deckhand, role marker: Wing-pack duelist"
SW_NPC_016,Pell Aerieson,Granitekin,3,Aether Deckhand,Dockmaster adjutant,Thunderline Cohort,Thunderline Dropship,assets/glb/npcs/SW_NPC_016_pell_aerieson.glb,"Granitekin Sky Warden uniform, rank 3 Aether Deckhand, role marker: Dockmaster adjutant"
SW_NPC_017,Quen Brightmast,Human,3,Aether Deckhand,Rescue winch operator,Thunderline Cohort,Tempest Frigate,assets/glb/npcs/SW_NPC_017_quen_brightmast.glb,"Human Sky Warden uniform, rank 3 Aether Deckhand, role marker: Rescue winch operator"
SW_NPC_018,Rava Skyrill,Aetherborn,3,Aether Deckhand,Voidweather analyst,Thunderline Cohort,Dawnlift Hauler,assets/glb/npcs/SW_NPC_018_rava_skyrill.glb,"Aetherborn Sky Warden uniform, rank 3 Aether Deckhand, role marker: Voidweather analyst"
SW_NPC_019,Solis Noxwind,Sky Dwarf,3,Aether Deckhand,Shipwright priest,Thunderline Cohort,Aerie Cruiser,assets/glb/npcs/SW_NPC_019_solis_noxwind.glb,"Sky Dwarf Sky Warden uniform, rank 3 Aether Deckhand, role marker: Shipwright priest"
SW_NPC_020,Tavi Glasswake,Sylvan Elf,3,Aether Deckhand,Celestial courier,Thunderline Cohort,Stormcrown Dreadnought,assets/glb/npcs/SW_NPC_020_tavi_glasswake.glb,"Sylvan Elf Sky Warden uniform, rank 3 Aether Deckhand, role marker: Celestial courier"
SW_NPC_021,Uren Rootwing,Drakari,4,Storm Lancer,Parachute infantry lead,Aetherhook Guard,Wisp Runner,assets/glb/npcs/SW_NPC_021_uren_rootwing.glb,"Drakari Sky Warden uniform, rank 4 Storm Lancer, role marker: Parachute infantry lead"
SW_NPC_022,Vexa Sparkline,Mycelian,4,Storm Lancer,Aerie archivist,Aetherhook Guard,Cloudlace Courier,assets/glb/npcs/SW_NPC_022_vexa_sparkline.glb,"Mycelian Sky Warden uniform, rank 4 Storm Lancer, role marker: Aerie archivist"
SW_NPC_023,Wren Galesong,Tideborn,4,Storm Lancer,Oathhall sentinel,Aetherhook Guard,Rainneedle Patrol Skiff,assets/glb/npcs/SW_NPC_023_wren_galesong.glb,"Tideborn Sky Warden uniform, rank 4 Storm Lancer, role marker: Oathhall sentinel"
SW_NPC_024,Yara Firemast,Ironkin,4,Storm Lancer,Skybeast handler,Aetherhook Guard,Skyhook Cutter,assets/glb/npcs/SW_NPC_024_yara_firemast.glb,"Ironkin Sky Warden uniform, rank 4 Storm Lancer, role marker: Skybeast handler"
SW_NPC_025,Zorin Quillspire,Avian,4,Storm Lancer,Orbital tow specialist,Aetherhook Guard,Silverwing Corvette,assets/glb/npcs/SW_NPC_025_zorin_quillspire.glb,"Avian Sky Warden uniform, rank 4 Storm Lancer, role marker: Orbital tow specialist"
SW_NPC_026,Asha Voidson,Lunari,4,Storm Lancer,Aegis kite commander,Aetherhook Guard,Mercy Barque,assets/glb/npcs/SW_NPC_026_asha_voidson.glb,"Lunari Sky Warden uniform, rank 4 Storm Lancer, role marker: Aegis kite commander"
SW_NPC_027,Bracca Longsail,Emberling,5,Skybinder,Gale courier,Oathwake Wing,Tempest Frigate,assets/glb/npcs/SW_NPC_027_bracca_longsail.glb,"Emberling Sky Warden uniform, rank 5 Skybinder, role marker: Gale courier"
SW_NPC_028,Crix Thunderpin,Glass Nomad,5,Skybinder,Storm vault locksmith,Oathwake Wing,Dawnlift Hauler,assets/glb/npcs/SW_NPC_028_crix_thunderpin.glb,"Glass Nomad Sky Warden uniform, rank 5 Skybinder, role marker: Storm vault locksmith"
SW_NPC_029,Dalen Stormvale,Verdant Goliath,5,Skybinder,Beacon choir leader,Oathwake Wing,Aerie Cruiser,assets/glb/npcs/SW_NPC_029_dalen_stormvale.glb,"Verdant Goliath Sky Warden uniform, rank 5 Skybinder, role marker: Beacon choir leader"
SW_NPC_030,Eris Aerieson,Void-Touched,5,Skybinder,Cloud lance instructor,Oathwake Wing,Stormcrown Dreadnought,assets/glb/npcs/SW_NPC_030_eris_aerieson.glb,"Void-Touched Sky Warden uniform, rank 5 Skybinder, role marker: Cloud lance instructor"
SW_NPC_031,Fael Brightmast,Coral Merrow,5,Skybinder,Thunderline engineer,Oathwake Wing,Covenant Ark-Carrier,assets/glb/npcs/SW_NPC_031_fael_brightmast.glb,"Coral Merrow Sky Warden uniform, rank 5 Skybinder, role marker: Thunderline engineer"
SW_NPC_032,Galen Vossmark,Granitekin,6,Gale Sergeant,Horizon surveyor,Stormglass Circle,Cloudlace Courier,assets/glb/npcs/SW_NPC_032_galen_vossmark.glb,"Granitekin Sky Warden uniform, rank 6 Gale Sergeant, role marker: Horizon surveyor"
SW_NPC_033,Hara Ashwing,Human,6,Gale Sergeant,Aether lens marksman,Stormglass Circle,Rainneedle Patrol Skiff,assets/glb/npcs/SW_NPC_033_hara_ashwing.glb,"Human Sky Warden uniform, rank 6 Gale Sergeant, role marker: Aether lens marksman"
SW_NPC_034,Isk Tidecrown,Aetherborn,6,Gale Sergeant,Dawnwatch sergeant,Stormglass Circle,Skyhook Cutter,assets/glb/npcs/SW_NPC_034_isk_tidecrown.glb,"Aetherborn Sky Warden uniform, rank 6 Gale Sergeant, role marker: Dawnwatch sergeant"
SW_NPC_035,Jalen Rootwing,Sky Dwarf,6,Gale Sergeant,Wardship quartermaster,Stormglass Circle,Silverwing Corvette,assets/glb/npcs/SW_NPC_035_jalen_rootwing.glb,"Sky Dwarf Sky Warden uniform, rank 6 Gale Sergeant, role marker: Wardship quartermaster"
SW_NPC_036,Kora Sparkline,Sylvan Elf,6,Gale Sergeant,Windbridge mason,Stormglass Circle,Mercy Barque,assets/glb/npcs/SW_NPC_036_kora_sparkline.glb,"Sylvan Elf Sky Warden uniform, rank 6 Gale Sergeant, role marker: Windbridge mason"
SW_NPC_037,Lyra Horizonward,Drakari,7,High Aeronaut,Crisis evacuation marshal,Dawnmast Company,Tempest Frigate,assets/glb/npcs/SW_NPC_037_lyra_horizonward.glb,"Drakari Sky Warden uniform, rank 7 High Aeronaut, role marker: Crisis evacuation marshal"
SW_NPC_038,Mael Wardenmere,Mycelian,7,High Aeronaut,Weatherbreaker tactician,Dawnmast Company,Dawnlift Hauler,assets/glb/npcs/SW_NPC_038_mael_wardenmere.glb,"Mycelian Sky Warden uniform, rank 7 High Aeronaut, role marker: Weatherbreaker tactician"
SW_NPC_039,Nima Cinderrig,Tideborn,7,High Aeronaut,Starwell overflight scout,Dawnmast Company,Aerie Cruiser,assets/glb/npcs/SW_NPC_039_nima_cinderrig.glb,"Tideborn Sky Warden uniform, rank 7 High Aeronaut, role marker: Starwell overflight scout"
SW_NPC_040,Oda Canopyreel,Ironkin,7,High Aeronaut,Boarding-defense captain,Dawnmast Company,Stormcrown Dreadnought,assets/glb/npcs/SW_NPC_040_oda_canopyreel.glb,"Ironkin Sky Warden uniform, rank 7 High Aeronaut, role marker: Boarding-defense captain"
SW_NPC_041,Renn Aethermark,Avian,8,Cloud Marshal,Aerie logistics chief,Voidweather Watch,Wisp Runner,assets/glb/npcs/SW_NPC_041_renn_aethermark.glb,"Avian Sky Warden uniform, rank 8 Cloud Marshal, role marker: Aerie logistics chief"
SW_NPC_042,Sera Cloudmere,Lunari,8,Cloud Marshal,Oath arbitration officer,Voidweather Watch,Cloudlace Courier,assets/glb/npcs/SW_NPC_042_sera_cloudmere.glb,"Lunari Sky Warden uniform, rank 8 Cloud Marshal, role marker: Oath arbitration officer"
SW_NPC_043,Thane Rhythmfall,Emberling,8,Cloud Marshal,Skydock security chief,Voidweather Watch,Rainneedle Patrol Skiff,assets/glb/npcs/SW_NPC_043_thane_rhythmfall.glb,"Emberling Sky Warden uniform, rank 8 Cloud Marshal, role marker: Skydock security chief"
SW_NPC_044,Vale Dawnhook,Glass Nomad,8,Cloud Marshal,Fleet battle-singer,Voidweather Watch,Skyhook Cutter,assets/glb/npcs/SW_NPC_044_vale_dawnhook.glb,"Glass Nomad Sky Warden uniform, rank 8 Cloud Marshal, role marker: Fleet battle-singer"
SW_NPC_045,Xara Skyrill,Verdant Goliath,9,Storm Commander,Command flagship navigator,Horizon Rescue,Mercy Barque,assets/glb/npcs/SW_NPC_045_xara_skyrill.glb,"Verdant Goliath Sky Warden uniform, rank 9 Storm Commander, role marker: Command flagship navigator"
SW_NPC_046,Yorin Noxwind,Void-Touched,9,Storm Commander,Thunderhead operations lead,Horizon Rescue,Thunderline Dropship,assets/glb/npcs/SW_NPC_046_yorin_noxwind.glb,"Void-Touched Sky Warden uniform, rank 9 Storm Commander, role marker: Thunderhead operations lead"
SW_NPC_047,Zaya Glasswake,Coral Merrow,9,Storm Commander,Cloud Marshal of Berths,Horizon Rescue,Tempest Frigate,assets/glb/npcs/SW_NPC_047_zaya_glasswake.glb,"Coral Merrow Sky Warden uniform, rank 9 Storm Commander, role marker: Cloud Marshal of Berths"
SW_NPC_048,Rixx Rootwing,Granitekin,10,Sky Warden Prime,Prime skywatch executor,Prime Aerie Command,Aerie Cruiser,assets/glb/npcs/SW_NPC_048_rixx_rootwing.glb,"Granitekin Sky Warden uniform, rank 10 Sky Warden Prime, role marker: Prime skywatch executor"
SW_NPC_049,Mora Sparkline,Human,10,Sky Warden Prime,Prime fleet protector,Prime Aerie Command,Stormcrown Dreadnought,assets/glb/npcs/SW_NPC_049_mora_sparkline.glb,"Human Sky Warden uniform, rank 10 Sky Warden Prime, role marker: Prime fleet protector"
SW_NPC_050,Jun Galesong,Aetherborn,10,Sky Warden Prime,Prime oath adjudicator,Prime Aerie Command,Covenant Ark-Carrier,assets/glb/npcs/SW_NPC_050_jun_galesong.glb,"Aetherborn Sky Warden uniform, rank 10 Sky Warden Prime, role marker: Prime oath adjudicator"
