pack_number,zip,pack_name,class,subclass,specialization,ability,monster,boss,support_npc,weather,terrain,sun_variant,glb_modules,texture_png,audio_wav,config_docs,size_bytes
786,0786_kinetic_juggernaut_crater_drop_combat_magic_upgrade_0786.zip,Kinetic Juggernaut Crater Drop Combat Magic Upgrade 0786,Kinetic Juggernaut,Momentum Engine,Aggro Manipulation,Crater Drop,The Iron-Jaw Hound,The Data-Forged Evolvarch,Tidespeaker Nami,acid rain,root snare,deep-water cyan bloom,8,12,5,11,126751
787,0787_phantom_shift_blink_parry_combat_magic_upgrade_0787.zip,Phantom-Shift Blink-Parry Combat Magic Upgrade 0787,Phantom-Shift,Chrono-Blade,Velocity Scaling,Blink-Parry,The Nexus Swarmers,The Resonance Maestro,Beastmaster Thorne,snow squall,starfield dust,archive white-gold,8,12,5,11,86505
788,0788_sylvan_warden_frame_trap_substitution_combat_magic_upgrade_0788.zip,Sylvan Warden Frame-Trap Substitution Combat Magic Upgrade 0788,Sylvan Warden,Verdant Weaver,Briar-Patch,Frame-Trap Substitution,The Sylvan Juggernaut,The Syndicate Lich,Director Vance,zero-g starstorm,glass shard soundwave,void blacklight sun,8,12,5,11,127357
789,0789_flux_caster_elemental_dive_combat_magic_upgrade_0789.zip,Flux-Caster Elemental Dive Combat Magic Upgrade 0789,Flux-Caster,Storm-Caller,Crystal Carapace,Elemental Dive,The Gnarl-Maws,The Apex Chimera,The Grand Archivist,fog bank,root snare,festival magenta sun,8,12,5,11,109534
790,0790_protocol_weaver_grapple_syntax_combat_magic_upgrade_0790.zip,Protocol Weaver Grapple Syntax Combat Magic Upgrade 0790,Protocol Weaver,Evolutionary Coder,Digital Ascension,Grapple Syntax,The Aegis Carapace,The Astral Sovereign,Tidespeaker Nami,tidal surge,starfield dust,cold blue sunrise,8,12,5,11,109914
791,0791_apex_mutator_assimilation_roar_combat_magic_upgrade_0791.zip,Apex Mutator Assimilation Roar Combat Magic Upgrade 0791,Apex Mutator,Primal Catalyst,Apex Predator,Assimilation Roar,The Tremor-Fiend,The Null Anomaly,Beastmaster Thorne,clear dawn,glass shard soundwave,golden sanctuary sun,8,12,5,11,126687
792,0792_resonant_festival_headliner_combat_magic_upgrade_0792.zip,Resonant Festival Headliner Combat Magic Upgrade 0792,Resonant,Sub-Bass Architect,Low-Frequency Disruption,Festival Headliner,The Scrap-Stalker,The Ivory Behemoth,Director Vance,amber dusk,root snare,ash-orange glare,8,12,5,11,108460
793,0793_packmaster_alpha_s_command_combat_magic_upgrade_0793.zip,Packmaster Alpha's Command Combat Magic Upgrade 0793,Packmaster,Alpha-Handler,Heavy-Chewer Lockdown,Alpha's Command,The Grid-Rushers,The Ascendant Colossus,The Grand Archivist,acid rain,starfield dust,eclipse violet rim,8,12,5,11,83751
794,0794_orbital_striker_hover_dash_combat_magic_upgrade_0794.zip,Orbital Striker Hover-Dash Combat Magic Upgrade 0794,Orbital Striker,Thruster-Junkie,Atmospheric Juggle,Hover-Dash,The Siphon-Ticks,The Resonant Behemoth,Tidespeaker Nami,snow squall,glass shard soundwave,storm green cast,8,12,5,11,86136
795,0795_scrap_tek_hydraulic_piston_combat_magic_upgrade_0795.zip,Scrap-Tek Hydraulic Piston Combat Magic Upgrade 0795,Scrap-Tek,Field-Mechanic,Shrapnel Storm,Hydraulic Piston,The Venom-Spitter,The Data-Forged Evolvarch,Beastmaster Thorne,zero-g starstorm,root snare,molten red noon,8,12,5,11,95038
796,0796_kinetic_juggernaut_release_valve_combat_magic_upgrade_0796.zip,Kinetic Juggernaut Release Valve Combat Magic Upgrade 0796,Kinetic Juggernaut,Seismic Brawler,Release Valve,Release Valve,Nexus Warden,The Resonance Maestro,Director Vance,fog bank,starfield dust,deep-water cyan bloom,8,12,5,11,126341
797,0797_phantom_shift_reality_shatter_combat_magic_upgrade_0797.zip,Phantom-Shift Reality Shatter Combat Magic Upgrade 0797,Phantom-Shift,Neural-Linker,Shadow-Anchor,Reality Shatter,The Void Anomaly,The Syndicate Lich,The Grand Archivist,tidal surge,glass shard soundwave,archive white-gold,8,12,5,11,86155
798,0798_sylvan_warden_vine_pull_combat_magic_upgrade_0798.zip,Sylvan Warden Vine-Pull Combat Magic Upgrade 0798,Sylvan Warden,Apex Flora,Ablative Carapace,Vine-Pull,The Scrap-Phalanx,The Apex Chimera,Tidespeaker Nami,clear dawn,root snare,void blacklight sun,8,12,5,11,127128
799,0799_flux_caster_stance_dance_combat_magic_upgrade_0799.zip,Flux-Caster Stance Dance Combat Magic Upgrade 0799,Flux-Caster,Geo-Mage,Spell-Strike,Stance Dance,The Iron-Jaw Hound,The Astral Sovereign,Beastmaster Thorne,amber dusk,starfield dust,festival magenta sun,8,12,5,11,109750
800,0800_protocol_weaver_structural_rewrite_combat_magic_upgrade_0800.zip,Protocol Weaver Structural Rewrite Combat Magic Upgrade 0800,Protocol Weaver,EPI-Savant,Reality Tearing,Structural Rewrite,The Nexus Swarmers,The Null Anomaly,Director Vance,acid rain,glass shard soundwave,cold blue sunrise,8,12,5,11,110000
801,0801_apex_mutator_dna_siphon_combat_magic_upgrade_0801.zip,Apex Mutator DNA Siphon Combat Magic Upgrade 0801,Apex Mutator,Biomech Beast,Feral Regeneration,DNA Siphon,The Sylvan Juggernaut,The Ivory Behemoth,The Grand Archivist,snow squall,root snare,golden sanctuary sun,8,12,5,11,126223
802,0802_resonant_dual_woofer_slam_combat_magic_upgrade_0802.zip,Resonant Dual-Woofer Slam Combat Magic Upgrade 0802,Resonant,Tempo-Weaver,Halftime Stasis,Dual-Woofer Slam,The Gnarl-Maws,The Ascendant Colossus,Tidespeaker Nami,zero-g starstorm,starfield dust,ash-orange glare,8,12,5,11,108406
803,0803_packmaster_launching_bite_combat_magic_upgrade_0803.zip,Packmaster Launching Bite Combat Magic Upgrade 0803,Packmaster,Feral Vanguard,Pack Mentality,Launching Bite,The Aegis Carapace,The Resonant Behemoth,Beastmaster Thorne,fog bank,glass shard soundwave,eclipse violet rim,8,12,5,11,83151
804,0804_orbital_striker_anti_grav_uppercut_combat_magic_upgrade_0804.zip,Orbital Striker Anti-Grav Uppercut Combat Magic Upgrade 0804,Orbital Striker,Grav-Architect,Singularity Tether,Anti-Grav Uppercut,The Tremor-Fiend,The Data-Forged Evolvarch,Director Vance,tidal surge,root snare,storm green cast,8,12,5,11,85392
805,0805_scrap_tek_magnetic_tether_combat_magic_upgrade_0805.zip,Scrap-Tek Magnetic Tether Combat Magic Upgrade 0805,Scrap-Tek,Shock-Jockey,Static Grid,Magnetic Tether,The Scrap-Stalker,The Resonance Maestro,The Grand Archivist,clear dawn,starfield dust,molten red noon,8,12,5,11,96120
806,0806_kinetic_juggernaut_heavy_handed_combat_magic_upgrade_0806.zip,Kinetic Juggernaut Heavy-Handed Combat Magic Upgrade 0806,Kinetic Juggernaut,Inertia Bastion,Heavy Grapple,Heavy-Handed,The Grid-Rushers,The Syndicate Lich,Tidespeaker Nami,amber dusk,glass shard soundwave,deep-water cyan bloom,8,12,5,11,126285
807,0807_phantom_shift_chrono_collapse_combat_magic_upgrade_0807.zip,Phantom-Shift Chrono-Collapse Combat Magic Upgrade 0807,Phantom-Shift,Glass-Cannon,Sensory Feedback,Chrono-Collapse,The Siphon-Ticks,The Apex Chimera,Beastmaster Thorne,acid rain,root snare,archive white-gold,8,12,5,11,87160
808,0808_sylvan_warden_briar_web_combat_magic_upgrade_0808.zip,Sylvan Warden Briar Web Combat Magic Upgrade 0808,Sylvan Warden,Root-Binder,Photosynthesis,Briar Web,The Venom-Spitter,The Astral Sovereign,Director Vance,snow squall,starfield dust,void blacklight sun,8,12,5,11,127464
809,0809_flux_caster_the_maelstrom_combat_magic_upgrade_0809.zip,Flux-Caster The Maelstrom Combat Magic Upgrade 0809,Flux-Caster,Elemental Weaver,Blizzard,The Maelstrom,Nexus Warden,The Null Anomaly,The Grand Archivist,zero-g starstorm,glass shard soundwave,festival magenta sun,8,12,5,11,108695
810,0810_protocol_weaver_final_revision_combat_magic_upgrade_0810.zip,Protocol Weaver Final Revision Combat Magic Upgrade 0810,Protocol Weaver,Anomaly,Biomechanical Shift,Final Revision,The Void Anomaly,The Ivory Behemoth,Tidespeaker Nami,fog bank,root snare,cold blue sunrise,8,12,5,11,109721
811,0811_apex_mutator_apex_ascendancy_combat_magic_upgrade_0811.zip,Apex Mutator Apex Ascendancy Combat Magic Upgrade 0811,Apex Mutator,Chimera Strand,Earth-Shaker,Apex Ascendancy,The Scrap-Phalanx,The Ascendant Colossus,Beastmaster Thorne,tidal surge,starfield dust,golden sanctuary sun,8,12,5,11,126179
812,0812_resonant_wall_of_sound_combat_magic_upgrade_0812.zip,Resonant Wall of Sound Combat Magic Upgrade 0812,Resonant,Sonic Vanguard,Psychoacoustic Illusion,Wall of Sound,The Iron-Jaw Hound,The Resonant Behemoth,Director Vance,clear dawn,glass shard soundwave,ash-orange glare,8,12,5,11,108478
813,0813_packmaster_the_latch_combat_magic_upgrade_0813.zip,Packmaster The Latch Combat Magic Upgrade 0813,Packmaster,Outward Hunter,Mounted Artillery,The Latch,The Nexus Swarmers,The Data-Forged Evolvarch,The Grand Archivist,amber dusk,root snare,eclipse violet rim,8,12,5,11,84018
814,0814_orbital_striker_thruster_strike_combat_magic_upgrade_0814.zip,Orbital Striker Thruster-Strike Combat Magic Upgrade 0814,Orbital Striker,Orbital Bombardment,Kinetic Rods,Thruster-Strike,The Sylvan Juggernaut,The Resonance Maestro,Tidespeaker Nami,acid rain,starfield dust,storm green cast,8,12,5,11,86096
815,0815_scrap_tek_junkyard_titan_combat_magic_upgrade_0815.zip,Scrap-Tek Junkyard Titan Combat Magic Upgrade 0815,Scrap-Tek,Exo-Brawler,Hydraulic Leap,Junkyard Titan,The Gnarl-Maws,The Syndicate Lich,Beastmaster Thorne,snow squall,glass shard soundwave,molten red noon,8,12,5,11,95332
816,0816_kinetic_juggernaut_dual_release_combat_magic_upgrade_0816.zip,Kinetic Juggernaut Dual Release Combat Magic Upgrade 0816,Kinetic Juggernaut,Counter-Weight,Kinetic Absorption,Dual Release,The Aegis Carapace,The Apex Chimera,Director Vance,zero-g starstorm,root snare,deep-water cyan bloom,8,12,5,11,126151
817,0817_phantom_shift_vaulting_stutter_combat_magic_upgrade_0817.zip,Phantom-Shift Vaulting Stutter Combat Magic Upgrade 0817,Phantom-Shift,Void-Walker,Phase-Shift Assassination,Vaulting Stutter,The Tremor-Fiend,The Astral Sovereign,The Grand Archivist,fog bank,starfield dust,archive white-gold,8,12,5,11,87048
818,0818_sylvan_warden_bramble_slam_combat_magic_upgrade_0818.zip,Sylvan Warden Bramble-Slam Combat Magic Upgrade 0818,Sylvan Warden,Iron-Bark,Thorns & Tethers,Bramble-Slam,The Scrap-Stalker,The Null Anomaly,Tidespeaker Nami,tidal surge,glass shard soundwave,void blacklight sun,8,12,5,11,127567
819,0819_flux_caster_ley_line_pull_combat_magic_upgrade_0819.zip,Flux-Caster Ley-Line Pull Combat Magic Upgrade 0819,Flux-Caster,Aether-Blade,Superconduct,Ley-Line Pull,The Grid-Rushers,The Ivory Behemoth,Beastmaster Thorne,clear dawn,root snare,festival magenta sun,8,12,5,11,109990
820,0820_protocol_weaver_frame_trap_combat_magic_upgrade_0820.zip,Protocol Weaver Frame-Trap Combat Magic Upgrade 0820,Protocol Weaver,Front-Matter Architect,Cognitive Override,Frame-Trap,The Siphon-Ticks,The Ascendant Colossus,Director Vance,amber dusk,starfield dust,cold blue sunrise,8,12,5,11,109406
821,0821_apex_mutator_omega_cleave_combat_magic_upgrade_0821.zip,Apex Mutator Omega Cleave Combat Magic Upgrade 0821,Apex Mutator,Data-Code Deviant,Scrap-Armor,Omega Cleave,The Venom-Spitter,The Resonant Behemoth,The Grand Archivist,acid rain,glass shard soundwave,golden sanctuary sun,8,12,5,11,126889
822,0822_resonant_acoustic_counter_combat_magic_upgrade_0822.zip,Resonant Acoustic Counter Combat Magic Upgrade 0822,Resonant,Wakaan Mystic,Accelerando,Acoustic Counter,Nexus Warden,The Data-Forged Evolvarch,Tidespeaker Nami,snow squall,root snare,ash-orange glare,8,12,5,11,108242
823,0823_packmaster_dual_latch_combat_magic_upgrade_0823.zip,Packmaster Dual-Latch Combat Magic Upgrade 0823,Packmaster,Hound-Rider,Blood-Scent,Dual-Latch,The Void Anomaly,The Resonance Maestro,Beastmaster Thorne,zero-g starstorm,starfield dust,eclipse violet rim,8,12,5,11,83679
824,0824_orbital_striker_the_rod_of_god_combat_magic_upgrade_0824.zip,Orbital Striker The Rod of God Combat Magic Upgrade 0824,Orbital Striker,Zero-G Brawler,Frictionless Dash,The Rod of God,The Scrap-Phalanx,The Syndicate Lich,Director Vance,fog bank,glass shard soundwave,storm green cast,8,12,5,11,86558
825,0825_scrap_tek_emp_grid_combat_magic_upgrade_0825.zip,Scrap-Tek EMP Grid Combat Magic Upgrade 0825,Scrap-Tek,Scavenger,Hunter-Killer Drones,EMP Grid,The Iron-Jaw Hound,The Apex Chimera,The Grand Archivist,tidal surge,root snare,molten red noon,8,12,5,11,95219
826,0826_kinetic_juggernaut_gravity_well_combat_magic_upgrade_0826.zip,Kinetic Juggernaut Gravity Well Combat Magic Upgrade 0826,Kinetic Juggernaut,Momentum Engine,Inertial Mass,Gravity Well,The Nexus Swarmers,The Astral Sovereign,Tidespeaker Nami,clear dawn,starfield dust,deep-water cyan bloom,8,12,5,11,126677
827,0827_phantom_shift_stutter_step_combat_magic_upgrade_0827.zip,Phantom-Shift Stutter-Step Combat Magic Upgrade 0827,Phantom-Shift,Chrono-Blade,Time-Loop,Stutter-Step,The Sylvan Juggernaut,The Null Anomaly,Beastmaster Thorne,amber dusk,glass shard soundwave,archive white-gold,8,12,5,11,87267
828,0828_sylvan_warden_vine_whip_combat_magic_upgrade_0828.zip,Sylvan Warden Vine-Whip Combat Magic Upgrade 0828,Sylvan Warden,Verdant Weaver,Canopy Assault,Vine-Whip,The Gnarl-Maws,The Ivory Behemoth,Director Vance,acid rain,root snare,void blacklight sun,8,12,5,11,127989
829,0829_flux_caster_flux_parry_combat_magic_upgrade_0829.zip,Flux-Caster Flux-Parry Combat Magic Upgrade 0829,Flux-Caster,Storm-Caller,Hurricane,Flux-Parry,The Aegis Carapace,The Ascendant Colossus,The Grand Archivist,snow squall,starfield dust,festival magenta sun,8,12,5,11,108899
830,0830_protocol_weaver_the_red_pen_combat_magic_upgrade_0830.zip,Protocol Weaver The Red Pen Combat Magic Upgrade 0830,Protocol Weaver,Evolutionary Coder,Foundation Warding,The Red Pen,The Tremor-Fiend,The Resonant Behemoth,Tidespeaker Nami,zero-g starstorm,glass shard soundwave,cold blue sunrise,8,12,5,11,110021
831,0831_apex_mutator_beta_trigger_combat_magic_upgrade_0831.zip,Apex Mutator Beta Trigger Combat Magic Upgrade 0831,Apex Mutator,Primal Catalyst,Corrupted File,Beta Trigger,The Scrap-Stalker,The Data-Forged Evolvarch,Beastmaster Thorne,fog bank,root snare,golden sanctuary sun,8,12,5,11,126383
832,0832_resonant_metric_strike_combat_magic_upgrade_0832.zip,Resonant Metric Strike Combat Magic Upgrade 0832,Resonant,Sub-Bass Architect,Reverb Deflection,Metric Strike,The Grid-Rushers,The Resonance Maestro,Director Vance,tidal surge,starfield dust,ash-orange glare,8,12,5,11,108514
833,0833_packmaster_meat_shield_combat_magic_upgrade_0833.zip,Packmaster Meat-Shield Combat Magic Upgrade 0833,Packmaster,Alpha-Handler,Territorial Divide,Meat-Shield,The Siphon-Ticks,The Syndicate Lich,The Grand Archivist,clear dawn,glass shard soundwave,eclipse violet rim,8,12,5,11,83509
834,0834_orbital_striker_the_master_aviator_combat_magic_upgrade_0834.zip,Orbital Striker The Master Aviator Combat Magic Upgrade 0834,Orbital Striker,Thruster-Junkie,Satellite Painting,The Master Aviator,The Venom-Spitter,The Apex Chimera,Tidespeaker Nami,amber dusk,root snare,storm green cast,8,12,5,11,86012
835,0835_scrap_tek_wrecking_ball_combat_magic_upgrade_0835.zip,Scrap-Tek Wrecking Ball Combat Magic Upgrade 0835,Scrap-Tek,Field-Mechanic,Piston-Strike,Wrecking Ball,Nexus Warden,The Astral Sovereign,Beastmaster Thorne,acid rain,starfield dust,molten red noon,8,12,5,11,95233
836,0836_kinetic_juggernaut_vaulting_stomp_combat_magic_upgrade_0836.zip,Kinetic Juggernaut Vaulting Stomp Combat Magic Upgrade 0836,Kinetic Juggernaut,Seismic Brawler,Aggro Manipulation,Vaulting Stomp,The Void Anomaly,The Null Anomaly,Director Vance,snow squall,glass shard soundwave,deep-water cyan bloom,8,12,5,11,125157
837,0837_phantom_shift_singularity_event_combat_magic_upgrade_0837.zip,Phantom-Shift Singularity Event Combat Magic Upgrade 0837,Phantom-Shift,Neural-Linker,Momentum Drift,Singularity Event,The Scrap-Phalanx,The Ivory Behemoth,The Grand Archivist,zero-g starstorm,root snare,archive white-gold,8,12,5,11,86408
838,0838_sylvan_warden_master_gardener_combat_magic_upgrade_0838.zip,Sylvan Warden Master Gardener Combat Magic Upgrade 0838,Sylvan Warden,Apex Flora,The Overgrowth,Master Gardener,The Iron-Jaw Hound,The Ascendant Colossus,Tidespeaker Nami,fog bank,starfield dust,void blacklight sun,8,12,5,11,127679
839,0839_flux_caster_avatar_of_flux_combat_magic_upgrade_0839.zip,Flux-Caster Avatar of Flux Combat Magic Upgrade 0839,Flux-Caster,Geo-Mage,Crystal Carapace,Avatar of Flux,The Nexus Swarmers,The Resonant Behemoth,Beastmaster Thorne,tidal surge,glass shard soundwave,festival magenta sun,8,12,5,11,109223
840,0840_protocol_weaver_syntax_strike_combat_magic_upgrade_0840.zip,Protocol Weaver Syntax Strike Combat Magic Upgrade 0840,Protocol Weaver,EPI-Savant,Structural Revision,Syntax Strike,The Sylvan Juggernaut,The Data-Forged Evolvarch,Director Vance,clear dawn,root snare,cold blue sunrise,8,12,5,11,108843
841,0841_apex_mutator_alpha_trigger_combat_magic_upgrade_0841.zip,Apex Mutator Alpha Trigger Combat Magic Upgrade 0841,Apex Mutator,Biomech Beast,Cyber-Strike,Alpha Trigger,The Gnarl-Maws,The Resonance Maestro,The Grand Archivist,amber dusk,starfield dust,golden sanctuary sun,8,12,5,11,126750
842,0842_resonant_the_soundscape_combat_magic_upgrade_0842.zip,Resonant The Soundscape Combat Magic Upgrade 0842,Resonant,Tempo-Weaver,Low-Frequency Disruption,The Soundscape,The Aegis Carapace,The Syndicate Lich,Tidespeaker Nami,acid rain,glass shard soundwave,ash-orange glare,8,12,5,11,109390
843,0843_packmaster_heel_heel_strike_combat_magic_upgrade_0843.zip,Packmaster Heel & Heel-Strike Combat Magic Upgrade 0843,Packmaster,Feral Vanguard,Coordinated Assault,Heel & Heel-Strike,The Tremor-Fiend,The Apex Chimera,Beastmaster Thorne,snow squall,root snare,eclipse violet rim,8,12,5,11,83632
844,0844_orbital_striker_exosphere_stasis_combat_magic_upgrade_0844.zip,Orbital Striker Exosphere Stasis Combat Magic Upgrade 0844,Orbital Striker,Grav-Architect,Meteor Crash,Exosphere Stasis,The Scrap-Stalker,The Astral Sovereign,Director Vance,zero-g starstorm,starfield dust,storm green cast,8,12,5,11,87051
845,0845_scrap_tek_junkyard_turret_combat_magic_upgrade_0845.zip,Scrap-Tek Junkyard Turret Combat Magic Upgrade 0845,Scrap-Tek,Shock-Jockey,Shrapnel Storm,Junkyard Turret,The Grid-Rushers,The Null Anomaly,The Grand Archivist,fog bank,glass shard soundwave,molten red noon,8,12,5,11,94987
846,0846_kinetic_juggernaut_kinetic_guard_combat_magic_upgrade_0846.zip,Kinetic Juggernaut Kinetic Guard Combat Magic Upgrade 0846,Kinetic Juggernaut,Inertia Bastion,The Stampede,Kinetic Guard,The Siphon-Ticks,The Ivory Behemoth,Tidespeaker Nami,tidal surge,root snare,deep-water cyan bloom,8,12,5,11,125901
847,0847_phantom_shift_time_dilation_aura_combat_magic_upgrade_0847.zip,Phantom-Shift Time-Dilation Aura Combat Magic Upgrade 0847,Phantom-Shift,Glass-Cannon,Temporal Stutter,Time-Dilation Aura,The Venom-Spitter,The Ascendant Colossus,Beastmaster Thorne,clear dawn,starfield dust,archive white-gold,8,12,5,11,86606
848,0848_sylvan_warden_frame_trap_substitution_combat_magic_upgrade_0848.zip,Sylvan Warden Frame-Trap Substitution Combat Magic Upgrade 0848,Sylvan Warden,Root-Binder,Ablative Carapace,Frame-Trap Substitution,Nexus Warden,The Resonant Behemoth,Director Vance,amber dusk,glass shard soundwave,void blacklight sun,8,12,5,11,126989
849,0849_flux_caster_frame_trap_decoy_combat_magic_upgrade_0849.zip,Flux-Caster Frame-Trap Decoy Combat Magic Upgrade 0849,Flux-Caster,Elemental Weaver,Elemental Ward,Frame-Trap Decoy,The Void Anomaly,The Data-Forged Evolvarch,The Grand Archivist,acid rain,root snare,festival magenta sun,8,12,5,11,108807
850,0850_protocol_weaver_system_override_combat_magic_upgrade_0850.zip,Protocol Weaver System Override Combat Magic Upgrade 0850,Protocol Weaver,Anomaly,Timeline Splintering,System Override,The Scrap-Phalanx,The Resonance Maestro,Tidespeaker Nami,snow squall,starfield dust,cold blue sunrise,8,12,5,11,109416
851,0851_apex_mutator_the_anomaly_virus_combat_magic_upgrade_0851.zip,Apex Mutator The Anomaly Virus Combat Magic Upgrade 0851,Apex Mutator,Chimera Strand,Feral Regeneration,The Anomaly Virus,The Iron-Jaw Hound,The Syndicate Lich,Beastmaster Thorne,zero-g starstorm,glass shard soundwave,golden sanctuary sun,8,12,5,11,127194
852,0852_resonant_tectonic_shift_combat_magic_upgrade_0852.zip,Resonant Tectonic Shift Combat Magic Upgrade 0852,Resonant,Sonic Vanguard,Acoustic Shielding,Tectonic Shift,The Nexus Swarmers,The Apex Chimera,Director Vance,fog bank,root snare,ash-orange glare,8,12,5,11,108473
853,0853_packmaster_release_the_hound_combat_magic_upgrade_0853.zip,Packmaster Release the Hound Combat Magic Upgrade 0853,Packmaster,Outward Hunter,Flanking Maneuvers,Release the Hound,The Sylvan Juggernaut,The Astral Sovereign,The Grand Archivist,tidal surge,starfield dust,eclipse violet rim,8,12,5,11,84172
854,0854_orbital_striker_orbital_singularity_combat_magic_upgrade_0854.zip,Orbital Striker Orbital Singularity Combat Magic Upgrade 0854,Orbital Striker,Orbital Bombardment,Singularity Tether,Orbital Singularity,The Gnarl-Maws,The Null Anomaly,Tidespeaker Nami,clear dawn,glass shard soundwave,storm green cast,8,12,5,11,86226
855,0855_scrap_tek_hydraulic_piston_combat_magic_upgrade_0855.zip,Scrap-Tek Hydraulic Piston Combat Magic Upgrade 0855,Scrap-Tek,Exo-Brawler,Overcharge,Hydraulic Piston,The Aegis Carapace,The Ivory Behemoth,Beastmaster Thorne,amber dusk,root snare,molten red noon,8,12,5,11,95526
856,0856_kinetic_juggernaut_the_master_brawler_combat_magic_upgrade_0856.zip,Kinetic Juggernaut The Master Brawler Combat Magic Upgrade 0856,Kinetic Juggernaut,Counter-Weight,Tectonic Slams,The Master Brawler,The Tremor-Fiend,The Ascendant Colossus,Director Vance,acid rain,starfield dust,deep-water cyan bloom,8,12,5,11,125628
857,0857_phantom_shift_blink_parry_combat_magic_upgrade_0857.zip,Phantom-Shift Blink-Parry Combat Magic Upgrade 0857,Phantom-Shift,Void-Walker,Sensory Feedback,Blink-Parry,The Scrap-Stalker,The Resonant Behemoth,The Grand Archivist,snow squall,glass shard soundwave,archive white-gold,8,12,5,11,86371
