shop_id,region,sub_location,area,shop_type,shop_name,expected_first_visit_level,active_inventory_count,swap_pool_count,legendary_low_chance_count,mythological_low_chance_count
SHOP-0034,Cosmic Layer,Orbital Tether Station,Cargo Docks South,Relic Trader,Heritage Stand Cargo,68,18,15,3,2
SHOP-0035,Cosmic Layer,Orbital Tether Station,Passenger Terminal,Inn,The Iron Passenger,68,24,15,3,2
SHOP-0036,Cosmic Layer,Orbital Tether Station,Customs Concourse,Curio Shop,Lucky Relics Customs,68,24,15,3,2
SHOP-0037,Cosmic Layer,Orbital Tether Station,Fuel & Repair Depot,Mechanic,Spanner Bay Fuel,68,18,15,3,2
SHOP-0038,Cosmic Layer,Orbital Tether Station,Maintenance Spires,Armor Dye Pack Shop,Dyehouse Maintenance,68,17,15,3,2
SHOP-0039,Cosmic Layer,Orbital Tether Station,Maintenance Spires,Mechanic,Repair Dock Maintenance,68,23,15,3,2
SHOP-0040,Cosmic Layer,Orbital Tether Station,Shuttle Berths,General Goods,Supply Post Shuttle,68,17,15,3,2
SHOP-0041,Cosmic Layer,Orbital Tether Station,Shuttle Berths,Relic Trader,Oldlight Finds Shuttle,68,22,15,3,2
SHOP-0042,Cosmic Layer,Orbital Tether Station,Tether Anchor Array,Weapon Skin Shop,EdgeLacquer Ter,68,15,15,3,2
SHOP-0043,Cosmic Layer,Orbital Tether Station,Power Core Nexus,Blacksmith,Steelhouse Power,68,18,15,3,2
SHOP-0044,Cosmic Layer,Orbital Tether Station,Power Core Nexus,Stable,Surestep Yard Power,68,22,15,3,2
SHOP-0045,Cosmic Layer,Space Elevator,Surface Nexus,Curio Shop,Curio Niche Surface,72,21,15,3,2
SHOP-0046,Cosmic Layer,Space Elevator,Climber Dock & Launch Bay,Enchanter,Arcane Polish Climber,72,18,15,3,2
SHOP-0047,Cosmic Layer,Space Elevator,Emergency Detach Systems,Inn,The Moonlit Emergency,72,22,15,3,2
SHOP-0048,Cosmic Layer,Space Elevator,Tether Control Node,Food Stall,Lantern Kitchen Ter,72,18,15,3,2
SHOP-0049,Cosmic Layer,Space Elevator,Tether Control Node,Stable,Beast Hitch Ter,72,25,15,3,2
SHOP-0050,Cosmic Layer,Space Elevator,Climber Loading Bay,Marketplace,Merchant Court Climber,72,17,15,3,2
SHOP-0051,Cosmic Layer,Space Elevator,Counterweight Platform,Weapon Skin Shop,Patternsmith Counterweight,72,22,15,3,2
SHOP-0052,Cosmic Layer,Space Elevator,Stabilizer Arrays,Medic,Remedy Booth Stabilizer,72,19,15,3,2
SHOP-0053,Cosmic Layer,Space Elevator,Stabilizer Arrays,Mechanic,Spanner Bay Stabilizer,72,21,15,3,2
SHOP-0054,Cosmic Layer,Space Elevator,Maintenance Collar,Blacksmith,Forge of Maintenance,72,17,15,3,2
SHOP-0055,Cosmic Layer,Space Elevator,Maintenance Collar,Weapon Skin Shop,Patternsmith Maintenance,72,18,15,3,2
SHOP-0056,Cosmic Layer,Space Elevator,Integrity Monitor Stations,Mechanic,Boltworks Integrity,72,24,15,3,2
SHOP-0057,Cosmic Layer,Space Elevator,Upper Tether Junction,Armor Dye Pack Shop,Dyehouse Upper,72,24,15,3,2
SHOP-0058,Cosmic Layer,Space Elevator,Upper Tether Junction,Alchemist,Elixir Nook Upper,72,18,15,3,2
SHOP-0059,Urban Core,The Zenith Spire,Executive Crown,Curio Shop,Curio Niche Executive,1,17,15,3,2
SHOP-0060,Urban Core,The Zenith Spire,Skybridge Decks,Tailor,Thread & Hem Skybridge,1,17,15,3,2
SHOP-0061,Urban Core,The Zenith Spire,Observation Halo,Armor Dye Pack Shop,Pigment Loft Observation,1,15,15,3,2
SHOP-0062,Urban Core,The Zenith Spire,Corporate Council Atrium,Blacksmith,Hammer at Corporate,1,19,15,3,2
SHOP-0063,Urban Core,The Zenith Spire,Corporate Council Atrium,General Goods,Supply Post Corporate,1,22,15,3,2
SHOP-0064,Urban Core,The Zenith Spire,Command Nexus,Medic,Field Surgery Command,1,25,15,3,2
SHOP-0065,Urban Core,The Zenith Spire,Security Ring,Weapon Skin Shop,Patternsmith Security,1,23,15,3,2
SHOP-0066,Urban Core,The Zenith Spire,Security Ring,Alchemist,Glassleaf Phials Security,1,15,15,3,2
SHOP-0067,Urban Core,The Zenith Spire,Transit Lift Core,Food Stall,Lantern Kitchen Transit,1,22,15,3,2
SHOP-0068,Urban Core,The Zenith Spire,Transit Lift Core,Blacksmith,Hammer at Transit,1,17,15,3,2
SHOP-0069,Urban Core,The Zenith Spire,Spire Plaza,Medic,Mender Post Spire,1,22,15,3,2
SHOP-0070,Urban Core,The Zenith Spire,Spire Plaza,Food Stall,Griddle Row Spire,1,17,15,3,2
SHOP-0071,Urban Core,The Zenith Spire,Maintenance Conduits,Relic Trader,Heritage Stand Maintenance,1,21,15,3,2
SHOP-0072,Urban Core,The Zenith Spire,Maintenance Conduits,Stable,Mount Roost Maintenance,1,25,15,3,2
SHOP-0073,Urban Core,The Zenith Spire,Power Plant,Inn,The Silver Power,1,22,15,3,2
SHOP-0074,Urban Core,The Zenith Spire,Power Plant,Alchemist,Elixir Nook Power,1,19,15,3,2
SHOP-0075,Urban Core,The Provisioning Sectors,Bulk Forges & Fabricators,Stable,Beast Hitch Bulk,4,24,15,3,2
SHOP-0076,Urban Core,The Provisioning Sectors,Agri-Domes & Hydro Farms,Blacksmith,Steelhouse Agri-Domes,4,23,15,3,2
SHOP-0077,Urban Core,The Provisioning Sectors,Agri-Domes & Hydro Farms,Curio Shop,Curio Niche Agri-Domes,4,16,15,3,2
SHOP-0078,Urban Core,The Provisioning Sectors,Logistics Depots,Medic,Remedy Booth Logistics,4,22,15,3,2
SHOP-0079,Urban Core,The Provisioning Sectors,Logistics Depots,Armor Dye Pack Shop,Color Forge Logistics,4,20,15,3,2
SHOP-0080,Urban Core,The Provisioning Sectors,Ration Houses & Kitchens,Enchanter,Arcane Polish Ration,4,22,15,3,2
SHOP-0081,Urban Core,The Provisioning Sectors,Vendor Lanes,Relic Trader,Heritage Stand Vendor,4,22,15,3,2
SHOP-0082,Urban Core,The Provisioning Sectors,Rooftop Bazaars,Armor Dye Pack Shop,Dyehouse Rooftop,4,21,15,3,2
SHOP-0083,Urban Core,The Provisioning Sectors,Loading Platforms,Marketplace,Open Market Loading,4,23,15,3,2
SHOP-0084,Urban Core,The Provisioning Sectors,Cold Storage Towers,Food Stall,Lantern Kitchen Cold,4,17,15,3,2
SHOP-0085,Urban Core,The Provisioning Sectors,Freight Transfer Courts,Weapon Skin Shop,Patternsmith Freight,4,21,15,3,2
SHOP-0086,Urban Core,The Provisioning Sectors,Freight Transfer Courts,Relic Trader,Oldlight Finds Freight,4,15,15,3,2
SHOP-0087,Urban Core,The Provisioning Sectors,Service Alleys,Inn,The Rested Service,4,22,15,3,2
SHOP-0088,Urban Core,The On Demand Arteries,Express Fulfillment Towers,Inn,The Silver Express,7,24,15,3,2
SHOP-0089,Urban Core,The On Demand Arteries,Express Fulfillment Towers,Marketplace,Merchant Court Express,7,25,15,3,2
SHOP-0090,Urban Core,The On Demand Arteries,Flash Manufactories,Marketplace,Trade Circle Flash,7,20,15,3,2
SHOP-0091,Urban Core,The On Demand Arteries,Same-Day Foundries,Weapon Skin Shop,Skinworks Same-Day,7,24,15,3,2
SHOP-0092,Urban Core,The On Demand Arteries,Adaptive Warehouses,Blacksmith,Hammer at Adaptive,7,22,15,3,2
SHOP-0093,Urban Core,The On Demand Arteries,Skyway Exchange Loop,Curio Shop,Curio Niche Skyway,7,21,15,3,2
SHOP-0094,Urban Core,The On Demand Arteries,Mag-Rail Merge,Armor Dye Pack Shop,Shadeworks Mag-Rail,7,15,15,3,2
SHOP-0095,Urban Core,The On Demand Arteries,Mag-Rail Merge,Weapon Skin Shop,Skinworks Mag-Rail,7,21,15,3,2
SHOP-0096,Urban Core,The On Demand Arteries,Delivery Drone Port,Enchanter,Arcane Polish Delivery,7,20,15,3,2
SHOP-0097,Urban Core,The On Demand Arteries,Overpass Clash Zone,Mechanic,Repair Dock Overpass,7,17,15,3,2
SHOP-0098,Urban Core,The On Demand Arteries,Toll Gate Cluster,Stable,Surestep Yard Toll,7,25,15,3,2
SHOP-0099,Urban Core,The Raid Rush Choke Points,Barricaded Funnels,Medic,Field Surgery Barricaded,10,21,15,3,2
SHOP-0100,Urban Core,The Raid Rush Choke Points,Turret Lines,Alchemist,Elixir Nook Turret,10,17,15,3,2
SHOP-0101,Urban Core,The Raid Rush Choke Points,Drone Nests,Weapon Skin Shop,Chromaforge Drone,10,24,15,3,2
SHOP-0102,Urban Core,The Raid Rush Choke Points,Kill Corridors,Blacksmith,Anvil of Kill,10,22,15,3,2
SHOP-0103,Urban Core,The Raid Rush Choke Points,Gatehouse Forts,Tailor,Cloak and Cord Gatehouse,10,19,15,3,2
SHOP-0104,Urban Core,The Raid Rush Choke Points,Tactical Control Bunker,Enchanter,Runelight Tactical,10,15,15,3,2
SHOP-0105,Urban Core,The Raid Rush Choke Points,Siege Ramp Access,Curio Shop,Lucky Relics Siege,10,18,15,3,2
SHOP-0106,Urban Core,The Raid Rush Choke Points,Security Wall Segment,Armor Dye Pack Shop,Pigment Loft Security,10,16,15,3,2
SHOP-0107,Urban Core,The Raid Rush Choke Points,Emergency Med Station,Inn,The Moonlit Emergency,10,16,15,3,2
SHOP-0108,Urban Core,The Front Matter Void,Reality Fracture Edge,Blacksmith,Smelter of Reality,13,21,15,3,2
SHOP-0109,Urban Core,The Front Matter Void,Reality Fracture Edge,General Goods,Provisions of Reality,13,22,15,3,2
SHOP-0110,Urban Core,The Front Matter Void,Null Plaza,Enchanter,Arcane Polish Null,13,17,15,3,2
SHOP-0111,Urban Core,The Front Matter Void,Null Plaza,General Goods,Provisions of Null,13,25,15,3,2
SHOP-0112,Urban Core,The Front Matter Void,Data Tear Corridor,Stable,Saddle Gate Data,13,21,15,3,2
SHOP-0113,Urban Core,The Front Matter Void,Anomaly Plaza,General Goods,Loadout Depot Anomaly,13,18,15,3,2
SHOP-0114,Urban Core,The Front Matter Void,Anomaly Plaza,Armor Dye Pack Shop,Shadeworks Anomaly,13,21,15,3,2
SHOP-0115,Urban Core,The Front Matter Void,Geometry Spill,Weapon Skin Shop,Chromaforge Geometry,13,18,15,3,2
SHOP-0116,Urban Core,The Front Matter Void,Static Bridge,Curio Shop,Lucky Relics Static,13,24,15,3,2
SHOP-0117,Urban Core,The Front Matter Void,Voidwatch Platform,Food Stall,Spice Cart Voidwatch,13,22,15,3,2
SHOP-0118,Urban Core,The Front Matter Void,Voidwatch Platform,Alchemist,Remedy House Voidwatch,13,18,15,3,2
SHOP-0119,Urban Core,The Front Matter Void,Fracture Beacon,Armor Dye Pack Shop,Color Forge Fracture,13,16,15,3,2
SHOP-0120,Urban Core,The Front Matter Void,Emergency Seal Gate,Inn,The Iron Emergency,13,21,15,3,2
SHOP-0121,Urban Core,The Micro Markets,Bazaar Ring,Armor Dye Pack Shop,Pigment Loft Bazaar,16,24,15,3,2
SHOP-0122,Urban Core,The Micro Markets,Street Bazaar & Stalls,Inn,The Wandering Street,16,17,15,3,2
SHOP-0123,Urban Core,The Micro Markets,Black-Market Alleys,Tailor,Needlehouse Black-Market,16,19,15,3,2
SHOP-0124,Urban Core,The Micro Markets,Pawn Arcades,Blacksmith,Smelter of Pawn,16,17,15,3,2
SHOP-0125,Urban Core,The Micro Markets,Loot & Gear Bazaars,Curio Shop,Curio Niche Loot,16,24,15,3,2
SHOP-0126,Urban Core,The Micro Markets,Loot & Gear Bazaars,Blacksmith,Anvil of Loot,16,20,15,3,2
SHOP-0127,Urban Core,The Micro Markets,Hidden Exchange Court,Mechanic,Cog & Weld Hidden,16,22,15,3,2
SHOP-0128,Urban Core,The Micro Markets,Vendor Stack Towers,Enchanter,Arcane Polish Vendor,16,18,15,3,2
SHOP-0129,Urban Core,The Micro Markets,Transit Kiosk Row,Weapon Skin Shop,Skinworks Transit,16,23,15,3,2
SHOP-0130,Urban Core,The Micro Markets,Transit Kiosk Row,Relic Trader,Antique Vault Transit,16,23,15,3,2
SHOP-0131,Urban Core,The Micro Markets,Rooftop Safehouse,Stable,Mount Roost Rooftop,16,16,15,3,2
SHOP-0132,Western Wastes And Arid Plains,The Resonant Peaks,Echo Crown,General Goods,Provisions of Echo,12,25,15,3,2
SHOP-0133,Western Wastes And Arid Plains,The Resonant Peaks,Summit Causeway,Inn,The Ember Summit,12,20,15,3,2
SHOP-0134,Western Wastes And Arid Plains,The Resonant Peaks,Summit Causeway,Marketplace,Merchant Court Summit,12,15,15,3,2
SHOP-0135,Western Wastes And Arid Plains,The Resonant Peaks,Harmonic Spire,General Goods,Pack & Barrel Harmonic,12,20,15,3,2
SHOP-0136,Western Wastes And Arid Plains,The Resonant Peaks,Wind Shrine,Marketplace,Merchant Court Wind,12,20,15,3,2
SHOP-0137,Western Wastes And Arid Plains,The Resonant Peaks,Wind Shrine,Medic,Field Surgery Wind,12,17,15,3,2
SHOP-0138,Western Wastes And Arid Plains,The Resonant Peaks,Resonance Basin,Alchemist,Glassleaf Phials Resonance,12,20,15,3,2
SHOP-0139,Western Wastes And Arid Plains,The Resonant Peaks,Avalanche Steps,Weapon Skin Shop,EdgeLacquer Avalanche,12,18,15,3,2
SHOP-0140,Western Wastes And Arid Plains,The Resonant Peaks,Choir Pass,Mechanic,Repair Dock Choir,12,22,15,3,2
SHOP-0141,Western Wastes And Arid Plains,The Resonant Peaks,Watcher Ledge,Blacksmith,Smelter of Watcher,12,20,15,3,2
SHOP-0142,Western Wastes And Arid Plains,The Resonant Peaks,Resonance Towers,Armor Dye Pack Shop,Dyehouse Resonance,12,16,15,3,2
SHOP-0143,Western Wastes And Arid Plains,The Resonant Peaks,Deep Echo Cavern,Tailor,Stitchmark Deep,12,19,15,3,2
SHOP-0144,Western Wastes And Arid Plains,The Resonant Peaks,Deep Echo Cavern,Marketplace,Bazaar Lane Deep,12,25,15,3,2
SHOP-0145,Western Wastes And Arid Plains,The Sonic Badlands,Tuning Fork Expanse,Armor Dye Pack Shop,Color Forge Tuning,14,22,15,3,2
SHOP-0146,Western Wastes And Arid Plains,The Sonic Badlands,Standing Wave Gulch,Enchanter,Sigil Loom Standing,14,23,15,3,2
SHOP-0147,Western Wastes And Arid Plains,The Sonic Badlands,Standing Wave Gulch,Relic Trader,Oldlight Finds Standing,14,18,15,3,2
SHOP-0148,Western Wastes And Arid Plains,The Sonic Badlands,Resonance Dunes,Medic,Firstlight Clinic Resonance,14,16,15,3,2
SHOP-0149,Western Wastes And Arid Plains,The Sonic Badlands,Resonance Dunes,General Goods,Supply Post Resonance,14,25,15,3,2
SHOP-0150,Western Wastes And Arid Plains,The Sonic Badlands,Feedback Basin,Curio Shop,Lucky Relics Feedback,14,22,15,3,2
SHOP-0151,Western Wastes And Arid Plains,The Sonic Badlands,Forkkeeper Outpost,Stable,Surestep Yard Forkkeeper,14,25,15,3,2
SHOP-0152,Western Wastes And Arid Plains,The Sonic Badlands,Echo Drift,Weapon Skin Shop,Chromaforge Echo,14,21,15,3,2
SHOP-0153,Western Wastes And Arid Plains,The Sonic Badlands,Echo Drift,Stable,Surestep Yard Echo,14,16,15,3,2
SHOP-0154,Western Wastes And Arid Plains,The Sonic Badlands,Frequency Wall,Blacksmith,Smelter of Frequency,14,25,15,3,2
SHOP-0155,Western Wastes And Arid Plains,The Sonic Badlands,Frequency Wall,Relic Trader,Heritage Stand Frequency,14,17,15,3,2
SHOP-0156,Western Wastes And Arid Plains,The Sonic Badlands,Storm Channel,Inn,The Rested Storm,14,19,15,3,2
SHOP-0157,Western Wastes And Arid Plains,The Sonic Badlands,Storm Channel,Tailor,Needlehouse Storm,14,23,15,3,2
SHOP-0158,Western Wastes And Arid Plains,The Sonic Badlands,Buried Speaker Monolith,General Goods,Supply Post Buried,14,15,15,3,2
SHOP-0159,Western Wastes And Arid Plains,The Sonic Badlands,Buried Speaker Monolith,Relic Trader,Relic Reach Buried,14,21,15,3,2
SHOP-0160,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Pack Run Gorge,Medic,Field Surgery Pack,16,19,15,3,2
SHOP-0161,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Bitewheel Den,Armor Dye Pack Shop,Pigment Loft Bitewheel,16,19,15,3,2
SHOP-0162,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Scavenger Gate,Food Stall,Spice Cart Scavenger,16,24,15,3,2
SHOP-0163,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Scavenger Gate,Stable,Saddle Gate Scavenger,16,20,15,3,2
SHOP-0164,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Rift Chasm,Inn,The Iron Rift,16,25,15,3,2
SHOP-0165,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Hound Nest Pits,Tailor,Needlehouse Hound,16,18,15,3,2
SHOP-0166,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Redcliff Overlook,Mechanic,Boltworks Redcliff,16,16,15,3,2
SHOP-0167,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Redcliff Overlook,Armor Dye Pack Shop,Pigment Loft Redcliff,16,16,15,3,2
SHOP-0168,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Ravine Conveyor,Blacksmith,Hammer at Ravine,16,24,15,3,2
SHOP-0169,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Bone-Metal Pass,Weapon Skin Shop,Chromaforge Bone-Metal,16,18,15,3,2
SHOP-0170,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Kill Zone Basin,Stable,Beast Hitch Kill,16,22,15,3,2
SHOP-0171,Western Wastes And Arid Plains,The Heavy Chewer Canyons,Kill Zone Basin,Blacksmith,Hammer at Kill,16,16,15,3,2
SHOP-0172,Western Wastes And Arid Plains,The Shut Down Academies,War College Court,Blacksmith,Steelhouse War,18,18,15,3,2
SHOP-0173,Western Wastes And Arid Plains,The Shut Down Academies,Simulation Hall,Tailor,Cloak and Cord Simulation,18,16,15,3,2
SHOP-0174,Western Wastes And Arid Plains,The Shut Down Academies,Simulation Hall,Marketplace,Open Market Simulation,18,24,15,3,2
SHOP-0175,Western Wastes And Arid Plains,The Shut Down Academies,Command Terrace,Inn,The Ember Command,18,23,15,3,2
SHOP-0176,Western Wastes And Arid Plains,The Shut Down Academies,Command Terrace,Mechanic,Spanner Bay Command,18,20,15,3,2
SHOP-0177,Western Wastes And Arid Plains,The Shut Down Academies,Silent Lecture Dome,Medic,Firstlight Clinic Silent,18,20,15,3,2
SHOP-0178,Western Wastes And Arid Plains,The Shut Down Academies,Silent Lecture Dome,General Goods,Loadout Depot Silent,18,24,15,3,2
SHOP-0179,Western Wastes And Arid Plains,The Shut Down Academies,Drill Quadrant,Weapon Skin Shop,Skinworks Drill,18,15,15,3,2
SHOP-0180,Western Wastes And Arid Plains,The Shut Down Academies,Drill Quadrant,Relic Trader,Antique Vault Drill,18,25,15,3,2
SHOP-0181,Western Wastes And Arid Plains,The Shut Down Academies,Dormitory Ruins,Stable,Saddle Gate Dormitory,18,25,15,3,2
SHOP-0182,Western Wastes And Arid Plains,The Shut Down Academies,Archive Tower,Armor Dye Pack Shop,Pigment Loft Archive,18,19,15,3,2
SHOP-0183,Western Wastes And Arid Plains,The Shut Down Academies,Archive Tower,Inn,The Wandering Archive,18,21,15,3,2
SHOP-0184,Western Wastes And Arid Plains,The Shut Down Academies,Scholar Gate,Alchemist,Glassleaf Phials Scholar,18,19,15,3,2
SHOP-0185,Western Wastes And Arid Plains,The Shut Down Academies,Tactical Overlook,Marketplace,Open Market Tactical,18,23,15,3,2
SHOP-0186,Western Wastes And Arid Plains,The Deprecated Repositories,Index Crypt,Alchemist,Tonic Cellar Index,20,23,15,3,2
SHOP-0187,Western Wastes And Arid Plains,The Deprecated Repositories,Archive Spine,Medic,Mender Post Archive,20,15,15,3,2
SHOP-0188,Western Wastes And Arid Plains,The Deprecated Repositories,Archive Spine,Enchanter,Spellwire Archive,20,15,15,3,2
SHOP-0189,Western Wastes And Arid Plains,The Deprecated Repositories,Deprecated Hall,Marketplace,Trade Circle Deprecated,20,24,15,3,2
SHOP-0190,Western Wastes And Arid Plains,The Deprecated Repositories,Deprecated Hall,Food Stall,Lantern Kitchen Deprecated,20,17,15,3,2
SHOP-0191,Western Wastes And Arid Plains,The Deprecated Repositories,Memory Cache Vaults,Armor Dye Pack Shop,Dyehouse Memory,20,24,15,3,2
SHOP-0192,Western Wastes And Arid Plains,The Deprecated Repositories,Catalog Rift,Curio Shop,Curio Niche Catalog,20,23,15,3,2
SHOP-0193,Western Wastes And Arid Plains,The Deprecated Repositories,Catalog Rift,Medic,Remedy Booth Catalog,20,19,15,3,2
SHOP-0194,Western Wastes And Arid Plains,The Deprecated Repositories,Server Ossuary,Tailor,Needlehouse Server,20,21,15,3,2
SHOP-0195,Western Wastes And Arid Plains,The Deprecated Repositories,Quarantine Shelf,Blacksmith,Smelter of Quarantine,20,24,15,3,2
SHOP-0196,Western Wastes And Arid Plains,The Deprecated Repositories,Retrieval Lift,Inn,The Green Retrieval,20,17,15,3,2
SHOP-0197,Western Wastes And Arid Plains,The Deprecated Repositories,Scribes' Catwalks,Weapon Skin Shop,Chromaforge Scribes',20,23,15,3,2
SHOP-0198,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,The Hull Maze,Weapon Skin Shop,Patternsmith,22,20,15,3,2
SHOP-0199,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Magnet Spires,Armor Dye Pack Shop,Shadeworks Magnet,22,23,15,3,2
SHOP-0200,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Salvager Row,General Goods,Provisions of Salvager,22,22,15,3,2
SHOP-0201,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Graveyard Basin,Inn,The Quiet Graveyard,22,18,15,3,2
SHOP-0202,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Crane Forest,Blacksmith,Smelter of Crane,22,17,15,3,2
SHOP-0203,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Reactor Pit,Stable,Surestep Yard Reactor,22,22,15,3,2
SHOP-0204,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Wreck Gate,Tailor,Thread & Hem Wreck,22,23,15,3,2
SHOP-0205,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Wreck Gate,Blacksmith,Forge of Wreck,22,23,15,3,2
SHOP-0206,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Compass Jam Sector,Enchanter,Arcane Polish Compass,22,21,15,3,2
SHOP-0207,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,Compass Jam Sector,Blacksmith,Forge of Compass,22,23,15,3,2
SHOP-0208,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,The Iron Maelstrom,Food Stall,Spice Cart,22,21,15,3,2
SHOP-0209,Western Wastes And Arid Plains,The Scrap Yard Labyrinth,The Iron Maelstrom,Marketplace,Bazaar Lane,22,25,15,3,2
SHOP-0210,Western Wastes And Arid Plains,The Playa Of Ash,Ash Mirror Flats,Medic,Mender Post Ash,24,17,15,3,2
