quest_id,quest_number,quest_title,act,recommended_level,quest_type,primary_location,monster_tier,allowed_monsters,max_normal_monster_level,subquest_1_xp,subquest_2_xp,subquest_3_xp,subquest_4_xp,subquest_5_xp,subquest_6_xp,quest_completion_xp,quest_story_xp_total,boss_encounter_xp_separate,milestone_boss,reward_name,reward_type,rarity,item_power,min_level,consumables_materials,reward_note,story_unlock_from_original_outline
Q017,17,Ambush at the Rain Chain,1 — Ashes of Meridian Gate,3,Rescue,Cloudhook Docks,Early Game,"The Grid-Rushers, The Gnarl-Maws",4,20,20,25,25,25,30,80,225,0,,Meridian Field-Survival Cache,Consumable + Utility Cache,Common,116,3,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Sustains difficult play without replacing gear progression.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q018,18,The Silent Bell Tower,1 — Ashes of Meridian Gate,3,Defense,The Broken Lift,Early Game,"The Grid-Rushers, The Gnarl-Maws",4,20,20,25,25,25,35,95,245,0,,Meridian Field-Survival Cache,Consumable + Utility Cache,Common,116,3,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Sustains difficult play without replacing gear progression.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q019,19,The Aether Core Awakens,1 — Ashes of Meridian Gate,3,Stealth,Archive of First Light,Early Game,"The Grid-Rushers, The Gnarl-Maws",4,20,20,25,25,25,35,75,225,0,,Meridian Wayfinder Supply Cache,General Reward Cache,Common,116,3,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 5x Cracked Aether Shard",Standard story reward; intentionally modest XP and power.,"Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q020,20,Trial of the Meridian Guard,1 — Ashes of Meridian Gate,4,Crafting,The Embermarket,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",5,25,30,30,35,35,40,110,305,0,,Meridian Class Weapon Calibration Kit,Weapon Upgrade Component,Common,128,4,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 6x Cracked Aether Shard",Upgrades the active class weapon one bracket if the player already meets the level gate.,"Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q021,21,The False Evacuation Order,1 — Ashes of Meridian Gate,4,Diplomacy,Crown Battery,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",5,25,30,30,35,35,40,80,275,0,,Meridian Reputation Writ + Evidence Cache,Reputation / Utility,Common,128,4,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 6x Cracked Aether Shard","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q022,22,Duel on the Elevator Spine,1 — Ashes of Meridian Gate,4,Dungeon,Starfall Plaza,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",5,25,30,30,35,35,40,140,335,0,,Meridian Delver Cache: Chestguard or Weapon-Mod Choice,Dungeon Gear Choice Cache,Common,135,4,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 6x Cracked Aether Shard",Choice cache supports armor catch-up without providing a full weapon jump.,"Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q023,23,The Veiled Hand Revealed,1 — Ashes of Meridian Gate,4,Assault,Lower Gearworks,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",5,25,30,30,30,35,40,130,320,0,,Meridian Wayfinder Supply Cache,General Reward Cache,Common,133,4,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 6x Cracked Aether Shard",Standard story reward; intentionally modest XP and power.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q024,24,Reignite the Crown Battery,1 — Ashes of Meridian Gate,4,Boss,Cloudhook Docks,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",5,25,30,30,30,35,35,155,340,1200,The Ivory Behemoth,Ivory Tuskgraft Weapon Core (The Ivory Behemoth Trophy),Milestone Boss Trophy / Adaptive Weapon Token,Common,150,4,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 6x Cracked Aether Shard",Boss trophy converts to a class-appropriate weapon/focus and does not bypass the level requirement.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q025,25,Meridian Gate Holds,1 — Ashes of Meridian Gate,4,Resolution,The Broken Lift,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",5,30,30,30,35,35,40,145,345,0,,Meridian Act-Capstone Relic: Aether Core Stabilizer,Act Artifact + Set Token,Common,151,4,"1x Minor Vitality Injector, 1x Weak Focus Tonic, 6x Cracked Aether Shard","Major act-finale reward; grants a story-set token, not a full best-in-slot item.","Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q026,26,The Forest Refuses the Map,2 — The Verdant Accord,5,Investigation,Elderbloom Canopy,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",6,35,40,40,45,45,55,120,380,0,,Elderbloom Reputation Writ + Evidence Cache,Reputation / Utility,Uncommon,140,5,"1x Standard Vitality Injector, 1x Combo Salve, 6x Living Amber","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q027,27,Amberback Crossing,2 — The Verdant Accord,5,Rescue,Amberback Crossing,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",6,35,40,40,45,45,50,135,390,0,,Elderbloom Field-Survival Cache,Consumable + Utility Cache,Uncommon,140,5,"1x Standard Vitality Injector, 1x Combo Salve, 6x Living Amber",Sustains difficult play without replacing gear progression.,"Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q028,28,A Village Wrapped in Vines,2 — The Verdant Accord,5,Defense,The Sapglass Labyrinth,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",6,35,40,40,45,45,55,160,420,0,,Elderbloom Field-Survival Cache,Consumable + Utility Cache,Uncommon,140,5,"1x Standard Vitality Injector, 1x Combo Salve, 6x Living Amber",Sustains difficult play without replacing gear progression.,"Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q029,29,The Rootless Guide,2 — The Verdant Accord,5,Stealth,Rootcourt Hollow,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",6,35,40,40,40,45,50,130,380,0,,Elderbloom Wayfinder Supply Cache,General Reward Cache,Uncommon,140,5,"1x Standard Vitality Injector, 1x Combo Salve, 6x Living Amber",Standard story reward; intentionally modest XP and power.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q030,30,Sapglass Footprints,2 — The Verdant Accord,5,Crafting,Mosswake Village,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",6,35,40,40,45,45,50,145,400,0,,Elderbloom Class Weapon Calibration Kit,Weapon Upgrade Component,Uncommon,140,5,"1x Standard Vitality Injector, 1x Combo Salve, 6x Living Amber",Upgrades the active class weapon one bracket if the player already meets the level gate.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q031,31,The Thorn Choir’s Hymn,2 — The Verdant Accord,5,Diplomacy,Thorn Choir Nursery,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",6,35,40,40,40,45,50,110,360,0,,Elderbloom Reputation Writ + Evidence Cache,Reputation / Utility,Uncommon,140,5,"1x Standard Vitality Injector, 1x Combo Salve, 6x Living Amber","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q032,32,Spores in the Survey Camp,2 — The Verdant Accord,5,Exploration,Greenfire Basin,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx",6,35,40,40,40,45,50,120,370,0,,Elderbloom Wayfinder Supply Cache,General Reward Cache,Uncommon,140,5,"1x Standard Vitality Injector, 1x Combo Salve, 6x Living Amber",Standard story reward; intentionally modest XP and power.,"Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q033,33,A Trial Before Rootcourt,2 — The Verdant Accord,6,Dungeon,Elderbloom Canopy,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",7,55,60,65,65,70,80,290,685,0,,Elderbloom Delver Cache: Cloak or Weapon-Mod Choice,Dungeon Gear Choice Cache,Uncommon,159,6,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Choice cache supports armor catch-up without providing a full weapon jump.,"Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q034,34,Greenfire Samples,2 — The Verdant Accord,6,Boss,Amberback Crossing,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",7,55,55,60,65,70,75,315,695,0,,Elderbloom Elite Spoils Cache: Cloak Pattern,Elite Gear Pattern,Uncommon,162,6,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Local boss reward; power capped to quest level to avoid overgearing.,"Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q035,35,The Missing Amberback Calves,2 — The Verdant Accord,6,Moral,The Sapglass Labyrinth,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",7,55,60,60,65,70,80,200,590,0,,Elderbloom Bracers Armor Piece,Armor Piece,Uncommon,152,6,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Single armor piece; set bonuses require several story and crafting inputs.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q036,36,Nursery of Borrowed Faces,2 — The Verdant Accord,6,Assault,Rootcourt Hollow,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",7,55,60,65,65,70,80,265,660,0,,Elderbloom Wayfinder Supply Cache,General Reward Cache,Uncommon,157,6,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Standard story reward; intentionally modest XP and power.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q037,37,The Biomancer’s Debt,2 — The Verdant Accord,6,Escort,Mosswake Village,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",7,55,60,65,65,70,80,215,610,0,,Elderbloom Field-Survival Cache,Consumable + Utility Cache,Uncommon,152,6,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Sustains difficult play without replacing gear progression.,"Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q038,38,The River That Flows Upward,2 — The Verdant Accord,6,Puzzle,Thorn Choir Nursery,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",7,55,60,60,65,70,75,200,585,0,,Elderbloom Wayfinder Supply Cache,General Reward Cache,Uncommon,152,6,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Standard story reward; intentionally modest XP and power.,"Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q039,39,Three Seeds of Consent,2 — The Verdant Accord,7,Heist,Greenfire Basin,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",8,80,85,90,95,100,110,315,875,0,,Elderbloom Technical Cache: Living Amber Bundle,Crafting / Upgrade Materials,Uncommon,164,7,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Supports upgrades but requires additional farmed materials.,"Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q040,40,Rook’s Broken Oath,2 — The Verdant Accord,7,Network,Elderbloom Canopy,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",8,80,85,90,95,100,110,315,875,0,,Elderbloom Class Weapon Calibration Kit,Weapon Upgrade Component,Uncommon,164,7,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Upgrades the active class weapon one bracket if the player already meets the level gate.,"Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q041,41,The Sapglass Labyrinth,2 — The Verdant Accord,7,Investigation,Amberback Crossing,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",8,80,85,90,95,100,115,265,830,0,,Elderbloom Reputation Writ + Evidence Cache,Reputation / Utility,Uncommon,164,7,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q042,42,Huntress Mael’s Red Trail,2 — The Verdant Accord,7,Rescue,The Sapglass Labyrinth,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",8,80,85,90,95,100,105,300,855,0,,Elderbloom Field-Survival Cache,Consumable + Utility Cache,Uncommon,164,7,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Sustains difficult play without replacing gear progression.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q043,43,The Graft-King’s First Bloom,2 — The Verdant Accord,7,Defense,Rootcourt Hollow,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",8,80,85,90,95,100,115,350,915,0,,Elderbloom Field-Survival Cache,Consumable + Utility Cache,Uncommon,164,7,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Sustains difficult play without replacing gear progression.,"Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q044,44,Verdant Cipher Fragment,2 — The Verdant Accord,7,Stealth,Mosswake Village,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",8,75,80,85,95,100,110,280,825,0,,Elderbloom Wayfinder Supply Cache,General Reward Cache,Uncommon,164,7,"1x Standard Vitality Injector, 1x Combo Salve, 7x Living Amber",Standard story reward; intentionally modest XP and power.,"Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q045,45,Mosswake Under Siege,2 — The Verdant Accord,8,Crafting,Thorn Choir Nursery,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",9,95,100,110,115,120,140,385,1065,0,,Elderbloom Amulet Armor Piece,Armor Piece,Uncommon,176,8,"1x Standard Vitality Injector, 1x Combo Salve, 8x Living Amber",Single armor piece; set bonuses require several story and crafting inputs.,"Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q046,46,The Speaking Grove,2 — The Verdant Accord,8,Diplomacy,Greenfire Basin,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",9,95,100,105,115,120,135,290,960,0,,Elderbloom Reputation Writ + Evidence Cache,Reputation / Utility,Uncommon,176,8,"1x Standard Vitality Injector, 1x Combo Salve, 8x Living Amber","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q047,47,Cut the Black Root,2 — The Verdant Accord,8,Dungeon,Elderbloom Canopy,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",9,95,100,110,115,120,140,495,1175,0,,Elderbloom Delver Cache: Amulet or Weapon-Mod Choice,Dungeon Gear Choice Cache,Uncommon,183,8,"1x Standard Vitality Injector, 1x Combo Salve, 8x Living Amber",Choice cache supports armor catch-up without providing a full weapon jump.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q048,48,The Thorn Choir Unmasked,2 — The Verdant Accord,8,Assault,Amberback Crossing,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",9,95,100,110,115,120,140,450,1130,0,,Elderbloom Wayfinder Supply Cache,General Reward Cache,Uncommon,181,8,"1x Standard Vitality Injector, 1x Combo Salve, 8x Living Amber",Standard story reward; intentionally modest XP and power.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q049,49,Awaken the Elderbloom Node,2 — The Verdant Accord,8,Boss,The Sapglass Labyrinth,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",9,90,100,105,110,120,130,540,1195,2500,The Resonant Behemoth,Resonant Spine Resonator (The Resonant Behemoth Trophy),Milestone Boss Trophy / Adaptive Weapon Token,Uncommon,198,8,"1x Standard Vitality Injector, 1x Combo Salve, 8x Living Amber",Boss trophy converts to a class-appropriate weapon/focus and does not bypass the level requirement.,"Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q050,50,The Accord Signed in Greenfire,2 — The Verdant Accord,8,Resolution,Rootcourt Hollow,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",9,100,105,115,120,130,140,515,1225,0,,Elderbloom Act-Capstone Relic: Verdant Cipher Seal,Act Artifact + Set Token,Uncommon,199,8,"1x Standard Vitality Injector, 1x Combo Salve, 8x Living Amber","Major act-finale reward; grants a story-set token, not a full best-in-slot item.","Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
Q051,51,The Gate That Taxes Breath,3 — The Iron Crown Rebellion,9,Investigation,Cindervale Gate,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",10,105,115,120,130,140,155,360,1125,0,,Cindervale Reputation Writ + Evidence Cache,Reputation / Utility,Uncommon+,188,9,"1x Standard Vitality Injector, 1x Combo Salve, 8x Cindervale Ingot","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: a traversal upgrade, a faction favor, and a replayable encounter modifier."
Q052,52,Ashline Tenement Ledger,3 — The Iron Crown Rebellion,9,Rescue,Ashline Tenements,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",10,105,115,120,130,135,150,405,1160,0,,Cindervale Field-Survival Cache,Consumable + Utility Cache,Uncommon+,188,9,"1x Standard Vitality Injector, 1x Combo Salve, 8x Cindervale Ingot",Sustains difficult play without replacing gear progression.,"Unlocks: crafting schematics, world-state evidence, and access to the next secure location."
Q053,53,The Defector’s Brand,3 — The Iron Crown Rebellion,9,Defense,Elemental Chainhouse,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",10,110,115,125,130,140,150,475,1245,0,,Cindervale Field-Survival Cache,Consumable + Utility Cache,Uncommon+,188,9,"1x Standard Vitality Injector, 1x Combo Salve, 8x Cindervale Ingot",Sustains difficult play without replacing gear progression.,"Unlocks: an NPC loyalty increase, a tactical perk, and a changed patrol or civilian state."
Q054,54,Strike Bells at Foundry Nine,3 — The Iron Crown Rebellion,9,Stealth,Propaganda Mint,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",10,105,110,120,125,135,150,380,1125,0,,Cindervale Wayfinder Supply Cache,General Reward Cache,Uncommon+,188,9,"1x Standard Vitality Injector, 1x Combo Salve, 8x Cindervale Ingot",Standard story reward; intentionally modest XP and power.,"Unlocks: a boss intel file, rare materials, and one main-story route unlock."
Q055,55,Elemental Chainhouse Intake,3 — The Iron Crown Rebellion,9,Crafting,Foundry Nine,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",10,105,115,120,130,135,155,425,1185,0,,Cindervale Gloves Armor Piece,Armor Piece,Uncommon+,188,9,"1x Standard Vitality Injector, 1x Combo Salve, 8x Cindervale Ingot",Single armor piece; set bonuses require several story and crafting inputs.,"Unlocks: campaign reputation, a new codex entry, and a permanent hub-state update."
Q056,56,Sabotage Without Slaughter,3 — The Iron Crown Rebellion,9,Diplomacy,The Brass Court,Early Game,"The Grid-Rushers, The Gnarl-Maws, The Scrap-Phalanx, The Siphon-Ticks",10,105,110,120,125,135,150,320,1065,0,,Cindervale Reputation Writ + Evidence Cache,Reputation / Utility,Uncommon+,188,9,"1x Standard Vitality Injector, 1x Combo Salve, 8x Cindervale Ingot","Primarily unlocks vendors, dialogue, and crafting discounts.","Unlocks: allied support tokens, upgraded travel access, and a new investigation lead."
