quest_id,quest_number,quest_title,act,recommended_level,quest_type,subquest_number,subquest_title,subquest_objective,subquest_xp,subquest_reward,monster_gate,allowed_monsters
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,5,Breakout,"Escort the rescued group through a live combat or traversal sequence while the Veiled Hand saboteurs and their commander, Sable Veyr tries to cut them off.",15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,The Grid-Rushers
Q002,2,Smoke in the Gearworks,1 — Ashes of Meridian Gate,1,Rescue,6,Debrief,"Return the survivors to Archivist Pell, extract their intelligence, and add their testimony to the main campaign board.",15,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,The Grid-Rushers
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,1,Assess the Line,"Survey Cloudhook Docks, identify three weak points, and choose where allied NPC squads should fortify.",10,2x Cracked Aether Shard; scouting reputation +1,Early Game,The Grid-Rushers
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,2,Build the Hold,"Repair barricades, deploy sensors or wards, and place fallback supplies for Veiled Hand defenders.",10,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,The Grid-Rushers
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,3,First Wave,"Repel the opening attack from the Veiled Hand saboteurs and their commander, Sable Veyr while preserving civilians, engineers, or critical structures.",10,Faction scrip +1; 1x Weak Focus Tonic,Early Game,The Grid-Rushers
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,4,Mid-Battle Crisis,"Respond to a breach, sabotage event, or elite flank at Archive of First Light before morale collapses.",10,4x Cracked Aether Shard; repair parts bundle,Early Game,The Grid-Rushers
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,5,Counterstrike,"Push out from the line, destroy the attackers’ command node, and defeat their field captain.",15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,The Grid-Rushers
Q003,3,The Courier with No Shadow,1 — Ashes of Meridian Gate,1,Defense,6,After-Action Lockdown,"Stabilize Crown Battery, count losses, recover evidence, and authorize the next campaign movement.",15,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,The Grid-Rushers
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,1,Cover Identity,"Acquire credentials, disguise tokens, or spoofed access from Warden Jalen without alerting the Veiled Hand saboteurs and their commander, Sable Veyr.",10,2x Cracked Aether Shard; scouting reputation +1,Early Game,The Grid-Rushers
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,2,Patrol Read,"Map guard paths, camera/scrying cones, and alarm relays across The Broken Lift.",10,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,The Grid-Rushers
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,3,Silent Entry,"Enter The Embermarket through a maintenance path, forgotten ritual door, or vertical traversal route.",10,Faction scrip +1; 1x Weak Focus Tonic,Early Game,The Grid-Rushers
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,4,Plant or Extract,"Install the needed device, steal the objective item, or copy the restricted records before detection rises.",10,4x Cracked Aether Shard; repair parts bundle,Early Game,The Grid-Rushers
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,5,Clean Exit,"Escape through Starfall Plaza, erase trace evidence, and protect any undercover allies left inside.",15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,The Grid-Rushers
Q004,4,Hold the Cloudhook Docks,1 — Ashes of Meridian Gate,1,Stealth,6,Intel Hand-Off,"Report to Captain Lyra Voss, compare the intel to existing clues, and flag the next vulnerability.",15,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,The Grid-Rushers
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,1,Specification,"Receive the schematic from Oracle Child Nima and identify the exact component, calibration, or ritual gap blocking progress.",10,2x Cracked Aether Shard; scouting reputation +1,Early Game,The Grid-Rushers
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,2,Rare Components,"Recover parts or reagents from Archive of First Light, Crown Battery, and a hostile cache controlled by the Veiled Hand saboteurs and their commander, Sable Veyr.",10,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,The Grid-Rushers
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,3,Prototype Build,"Assemble the device, cure, key, or upgrade while keeping failure states visible to the player.",10,Faction scrip +1; 1x Weak Focus Tonic,Early Game,The Grid-Rushers
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,4,Field Calibration,"Test the prototype in Lower Gearworks, collect telemetry, and correct one unexpected malfunction.",10,4x Cracked Aether Shard; repair parts bundle,Early Game,The Grid-Rushers
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,5,Workshop Defense,Defend Archivist Pell and the build site while enemies attempt to interrupt final assembly.,15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,The Grid-Rushers
Q005,5,A Core That Should Be Dead,1 — Ashes of Meridian Gate,1,Crafting,6,Deployment,"Install the completed tool into the campaign objective and document what new traversal, combat, or story route it unlocks.",15,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,The Grid-Rushers
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,1,Gain Audience,"Earn entry to a council, war table, or faction court at The Embermarket by solving their immediate access demand.",10,2x Cracked Aether Shard; scouting reputation +1,Early Game,The Grid-Rushers
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,2,Proof Package,"Collect verifiable proof from Starfall Plaza, including one witness, one artifact, and one enemy contradiction.",10,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,The Grid-Rushers
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,3,Faction Demands,"Hear the objections of Skywright Guild and Veiled Hand, then identify the demand that can be satisfied without betraying the main alliance.",10,Faction scrip +1; 1x Weak Focus Tonic,Early Game,The Grid-Rushers
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,4,Mediation Trial,"Resolve a staged debate, duel of honor, or public accusation while the Veiled Hand saboteurs and their commander, Sable Veyr tries to inflame the room.",10,4x Cracked Aether Shard; repair parts bundle,Early Game,The Grid-Rushers
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,5,Binding Action,"Complete the concession, rescue, exchange, or symbolic act required to make the agreement real.",15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,The Grid-Rushers
Q006,6,Archive Keys and Ashes,1 — Ashes of Meridian Gate,1,Diplomacy,6,Accord Ratified,"Return to Captain Lyra Voss, lock in the new ally or resource, and record the consequence for future quests.",15,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,The Grid-Rushers
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,1,Map the Unknown,Open the route from Crown Battery into Lower Gearworks and establish a temporary forward camp.,10,2x Cracked Aether Shard; scouting reputation +1,Early Game,The Grid-Rushers
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,2,Traversal Trial,"Cross the major environmental hazard using climbing, flight, swimming, portals, gravity, or mount mechanics.",10,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,The Grid-Rushers
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,3,Survey Markers,"Place three survey beacons and scan for aether, ecological, political, and military abnormalities.",10,Faction scrip +1; 1x Weak Focus Tonic,Early Game,The Grid-Rushers
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,4,Lost Contact,"Recover a missing scout, drone, spirit, or relay before the zone’s danger mechanic escalates.",10,4x Cracked Aether Shard; repair parts bundle,Early Game,The Grid-Rushers
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,5,Hidden Landmark,"Discover the concealed shrine, bunker, engine room, or memory site that reframes the act’s conflict.",15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,The Grid-Rushers
Q007,7,The Warden’s Missing Watch,1 — Ashes of Meridian Gate,1,Exploration,6,Route Secured,"Signal Archivist Pell, unlock the new hub path, and add the discovered threat to the main objective chain.",15,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,The Grid-Rushers
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,1,Entry Key,"Assemble the access key, ritual phrase, override code, or environmental condition needed to open Starfall Plaza.",15,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,2,First Wing,"Clear the opening section, teaching the dungeon’s signature mechanic through low-risk encounters.",15,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,3,Mechanic Deepening,Solve the mid-dungeon puzzle or traversal gauntlet in Cloudhook Docks while enemies pressure the group.,15,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,4,Elite Guardian,"Defeat a themed guardian tied to the Veiled Hand saboteurs and their commander, Sable Veyr, preserving any optional prisoners, records, or artifacts.",15,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,5,Final Chamber,"Activate the core mechanism, survive a hazard spike, and claim or purify the cracked Aether Core.",20,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q008,8,Embermarket Blackout,1 — Ashes of Meridian Gate,2,Dungeon,6,Dungeon Exit,"Escape collapse, corruption, or lockdown and brief Oracle Child Nima on what the dungeon revealed.",20,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,1,Boss Intel,"Gather three tells, resistances, or arena hazards connected to the boss force under the Veiled Hand saboteurs and their commander, Sable Veyr.",15,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,2,Arena Preparation,"Disable shields, open safe lanes, and position allied supports around Lower Gearworks.",15,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,3,Phase One,"Engage the boss, learn the baseline pattern, and interrupt the first wipe mechanic.",15,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,4,Phase Two Crisis,"Handle adds, environmental shifts, or corrupted allies as the fight escalates.",15,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,5,Final Break,"Exploit the revealed weakness, defeat the boss, and choose whether to capture, cleanse, or destroy the remnant.",15,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q009,9,Saboteurs Below the Lift,1 — Ashes of Meridian Gate,2,Boss,6,Victory Consequence,"Secure the cracked Aether Core, report to Warden Jalen, and unlock the next act-level route or political consequence.",20,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,1,Stakeholder Testimony,"Collect testimony from victims, perpetrators, and bystanders connected to Cloudhook Docks.",15,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,2,Evidence Balance,Verify facts at Archive of First Light so the choice is not based on propaganda or incomplete data.,15,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,3,Consequence Preview,Ask Oracle Child Nima and Archivist Pell to model the likely cost of each available decision.,15,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,4,Pressure Event,"Survive an attack, riot, or betrayal by the Veiled Hand saboteurs and their commander, Sable Veyr that tries to force a rushed answer.",15,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,5,Decision,Choose the resolution path and complete the concrete action that makes the choice irreversible.,20,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q010,10,A Pact with the Skywrights,1 — Ashes of Meridian Gate,2,Moral,6,Accountability,"Return to the affected faction, hear the reaction, and log the choice for later story callbacks.",20,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,1,Battle Plan,"Coordinate with Captain Lyra Voss, assign allied squads, and identify the primary breach point at The Broken Lift.",15,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,2,Forward Push,Capture the outer objective while avoiding unnecessary damage to civilians or vital systems.,15,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,3,Disable Support,"Destroy artillery, ritual anchors, drone relays, or elite reinforcements linked to the Veiled Hand saboteurs and their commander, Sable Veyr.",15,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,4,Interior Fight,"Move through The Embermarket, clear resistance, and keep the main objective from going into lockdown.",15,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,5,Command Node,"Defeat the commander, seize the records or control interface, and prevent a last-second scuttle.",20,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,6,Occupation Protocol,"Secure Starfall Plaza, hand control to allies, and verify that the assault achieved the story purpose.",20,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,1,Route Briefing,"Plan the convoy, refugee path, or NPC movement from Archive of First Light to Lower Gearworks with Archivist Pell.",15,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,2,First Leg,"Lead the group through the first hazard zone, keeping speed, stealth, or morale within safe limits.",15,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,3,Resource Stop,"Collect fuel, medicine, ritual charges, or repair parts at Crown Battery before the route collapses.",15,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,4,Ambush Response,"Defeat or bypass the Veiled Hand saboteurs and their commander, Sable Veyr forces without losing the protected objective.",15,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,5,Final Crossing,Complete the hardest traversal or combat segment while the escort target performs their own task.,20,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,6,Arrival,"Deliver the target to safety, confirm the strategic gain, and unlock the next branch of the campaign.",20,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,1,Rules Discovery,"Learn the rules of the ancient system, court ritual, engine lock, or dream logic governing The Embermarket.",15,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,2,First Solution,"Solve the opening sequence using clues from Engineer Sera Nox, the environment, and one recovered record.",15,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,3,Constraint Shift,"Adapt when the Veiled Hand saboteurs and their commander, Sable Veyr changes the pattern, adds pressure, or corrupts one of the puzzle inputs.",15,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,4,Parallel Locks,"Resolve three linked mechanisms across Starfall Plaza, each testing combat, traversal, and observation.",15,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,5,Final Alignment,"Align the core symbols, circuits, memories, or vows to reveal the hidden answer.",20,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,6,Reward State,"Open the path, recover the cracked Aether Core, and document the rule that will matter in a later quest.",20,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,1,Case the Target,"Survey Crown Battery, identify guards, escape routes, vault logic, and the exact item or record to obtain.",20,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,2,Crew Roles,"Assign support tasks to Warden Jalen, Captain Lyra Voss, and any recruited faction specialists.",20,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,3,Access Tool,"Forge credentials, acquire uniforms, duplicate keys, or hack a ward to enter Lower Gearworks.",25,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,4,The Lift,"Steal, swap, or copy the objective while optional loot and story evidence tempt overextension.",25,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,5,Complication,"Respond to a betrayal, alarm, or unexpected prisoner without abandoning the main objective.",25,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,6,Fence the Truth,"Deliver the prize to allies, expose the stolen truth, and convert it into a campaign advantage.",30,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,1,Topology Read,"Map the Starwell, relay, dream, oceanic, moon, or civic network around Starfall Plaza.",20,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,2,Signal Capture,"Collect clean samples of friendly, hostile, and corrupted transmissions before they desynchronize.",20,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,3,Node Repair,Restore or harden three relay points across Cloudhook Docks while enemies attempt live sabotage.,25,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,4,Protocol Break,Decode the hostile instruction set or ritual pattern controlling the local crisis.,25,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,5,Counter-Signal,"Deploy a patch, counter-chant, spoof, or firewall that turns the enemy network against itself.",25,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,6,Sync Confirmation,Verify with Oracle Child Nima that the repaired network persists and unlocks a stable path forward.,30,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,1,Briefing & Suspicion,"Meet Captain Lyra Voss at Lower Gearworks, record the reported anomaly, and mark three contradictions in the official account.",20,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,2,Scene Sweep,"Inspect The Broken Lift for physical traces, corrupted aether residue, witness routes, and any signs of staged evidence.",20,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,3,Witness Web,"Interview survivors from Refugee Conclave and Meridian Guard, then compare their timelines against the Starwell pulse log.",25,Faction scrip +1; 1x Weak Focus Tonic,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,4,Hidden Trail,"Follow the recovered clue through The Embermarket, avoiding false leads planted by the Veiled Hand saboteurs and their commander, Sable Veyr.",25,4x Cracked Aether Shard; repair parts bundle,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,5,Confrontation,"Corner the responsible agent or corrupted system, force a confession or data dump, and survive the countermeasure.",25,1x Minor Vitality Injector; 1x Weak Focus Tonic; encounter cache key fragment,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,6,Case Closure,"Deliver a verified finding to Engineer Sera Nox, update the alliance risk map, and unlock the next operational lead.",35,Quest-turn-in cache fragment; 5x Cracked Aether Shard,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q017,17,Ambush at the Rain Chain,1 — Ashes of Meridian Gate,3,Rescue,1,Distress Signal,"Triangulate the missing group’s last signal between Cloudhook Docks, Archive of First Light, and Crown Battery.",20,2x Cracked Aether Shard; scouting reputation +1,Early Game,"The Grid-Rushers, The Gnarl-Maws"
Q017,17,Ambush at the Rain Chain,1 — Ashes of Meridian Gate,3,Rescue,2,Safe Route,"Clear hazards, ambush points, or environmental blockers so a rescue team can enter without wiping.",20,3x Cracked Aether Shard; 1x Minor Vitality Injector,Early Game,"The Grid-Rushers, The Gnarl-Maws"
