world_map_location,category,min_level,difficulty_band,quest_appearances,first_quest,last_quest,sublocations_required,sublocations_touched_by_matrix,coverage_status
The Scrap-Yard Labyrinth,Forgotten Depths & Industrial Grids,11,Mid,1,Q071,Q071,Magnetized Wall Maze | Walker-Bone Ramparts | Crushed Starship Stack | Scrap-Tek Salvage Yard | Junkyard Minotaur Turn,Crushed Starship Stack | Junkyard Minotaur Turn | Magnetized Wall Maze | Scrap-Tek Salvage Yard | Walker-Bone Ramparts,PASS
The Playa of Ash,Terrestrial Sanctuaries,13,Mid,11,Q076,Q100,Ash Flat Expanse | Pyro Stage Ring | Rusted Art-Car Grave | Bass-Thrum Sandfield | Fire-Spout Causeway,Ash Flat Expanse | Bass-Thrum Sandfield | Fire-Spout Causeway | Pyro Stage Ring | Rusted Art-Car Grave,PASS
The Burning Playa,Digital & Evolutionary Plains,13,Mid,6,Q077,Q218,Nightfall Dust Flat | Fire-Breathing Art-Car Route | Mobile Wall-Run Circuit | Visibility-Zero Storm | Alkaline Camp Ruins,Alkaline Camp Ruins | Fire-Breathing Art-Car Route | Mobile Wall-Run Circuit | Nightfall Dust Flat | Visibility-Zero Storm,PASS
The Sonic Badlands,Ethereal & Resonant Zones,14,Mid,6,Q083,Q099,Ancient Tuning Fork Field | Resonance Crack Basin | Shockwave Relay Stones | Badlands Drum Line | Fork-Chime Gate,Ancient Tuning Fork Field | Badlands Drum Line | Fork-Chime Gate | Resonance Crack Basin | Shockwave Relay Stones,PASS
The Phonetic Wastes,Ethereal & Abstract Zones,14,Mid,2,Q087,Q095,Silent Dune Shelf | Crystalline Word Shards | Glass-Sound Ripple Path | Mute Horizon Gate | Shattered Syllable Basin,Crystalline Word Shards | Glass-Sound Ripple Path | Mute Horizon Gate | Shattered Syllable Basin | Silent Dune Shelf,PASS
The Reggae-Dub Oasis,Entertainment & Festival Hubs,15,Mid,1,Q096,Q096,Hillside Speaker Towers | Point-of-Sale Barricades | Dub-Bass Courtyard | Vendor Backline Camp | Slow-Tempo Stage,Dub-Bass Courtyard | Hillside Speaker Towers | Point-of-Sale Barricades | Slow-Tempo Stage | Vendor Backline Camp,PASS
The Wayfora Archipelago,Terrestrial Sanctuaries,16,Mid,7,Q097,Q125,Luxury Pier Ruins | Tidal Wash Arena | Resort Reef Paths | Island-Hop Rope Route | Elemental Cove,Elemental Cove | Island-Hop Rope Route | Luxury Pier Ruins | Resort Reef Paths | Tidal Wash Arena,PASS
The Abyssal Trench,Forgotten Depths & Industrial Grids,17,Mid,14,Q102,Q219,Cracked Glass Dome | Pressure-Slow Arena | Leaking Airlock Run | Deep Signal Relay | Trench Observation Ring,Cracked Glass Dome | Deep Signal Relay | Leaking Airlock Run | Pressure-Slow Arena | Trench Observation Ring,PASS
The Resonant Peaks,Ethereal & Resonant Zones,18,Mid,5,Q111,Q223,Psychoacoustic Summit Path | Floating Stone Steps | Updraft Chimney | Chord Weaver’s Trial Shelf | Magnetic Wind Bridge,Chord Weaver’s Trial Shelf | Floating Stone Steps | Magnetic Wind Bridge | Psychoacoustic Summit Path | Updraft Chimney,PASS
The Rhyming Labyrinths,Ethereal & Abstract Zones,19,Mid,3,Q120,Q193,Cadence Door Hall | Spoken-Word Switch Maze | Rhyme-Locked Blast Doors | Metered Combat Room | Echo-Couplet Exit,Cadence Door Hall | Echo-Couplet Exit | Metered Combat Room | Rhyme-Locked Blast Doors | Spoken-Word Switch Maze,PASS
The Private Quarantine,Corporate & Quarantine Sectors,18,Mid,2,Q113,Q121,Sterile Corridor Block | Shattered Operating Theater | Dr. Blake Monitor Bay | Central Trauma Ward | Containment Airlock Six,Central Trauma Ward | Containment Airlock Six | Dr. Blake Monitor Bay | Shattered Operating Theater | Sterile Corridor Block,PASS
The Syndicate Spire,Syndicate Dominions,20,Mid-to-Late,6,Q122,Q225,Pristine Glass Lobby | Fortified Elevator Shaft | Shareholder Observation Suite | Executive Combat Floor | Director Vance Broadcast Room,Director Vance Broadcast Room | Executive Combat Floor | Fortified Elevator Shaft | Pristine Glass Lobby | Shareholder Observation Suite,PASS
The Anomaly Ward,Syndicate Dominions,21,Mid-to-Late,13,Q126,Q170,Looping Clinical Hall | Stretched Operating Corridor | Anti-Gravity Trauma Bay | Floating Equipment Ward | Reality-Tear Recovery Room,Anti-Gravity Trauma Bay | Floating Equipment Ward | Looping Clinical Hall | Reality-Tear Recovery Room | Stretched Operating Corridor,PASS
The EPI-Center,Syndicate Dominions,22,Mid-to-Late,11,Q132,Q248,Hard-Light Data Bridge | Central Processing Chasm | Drafting Server Wall | Code-Revision Arena | World-State Compiler Core,Central Processing Chasm | Code-Revision Arena | Drafting Server Wall | Hard-Light Data Bridge | World-State Compiler Core,PASS
The Deprecated Repositories,Abandoned Architectures,22,Mid-to-Late,5,Q135,Q192,Exposed Code Frameworks | Refunding Bridge Span | Fragmented Core Node | Half-Built Vault Floor | Despawning Platform Gauntlet,Despawning Platform Gauntlet | Exposed Code Frameworks | Fragmented Core Node | Half-Built Vault Floor | Refunding Bridge Span,PASS
The Shut-Down Academies,Abandoned Architectures,23,Mid-to-Late,3,Q136,Q144,Empty Lecture Hall | Overdrive Simulator Wing | Overgrown Courtyard | Locked Drill Yard | Abandoned Strategy Theater,Abandoned Strategy Theater | Empty Lecture Hall | Locked Drill Yard | Overdrive Simulator Wing | Overgrown Courtyard,PASS
The Voyage Incubator,Abandoned Architectures,23,Mid-to-Late,3,Q137,Q145,Cultivation Tube Hall | Biome Projector Chamber | Prototype Acceleration Pit | Tundra-to-Desert Test Room | Incubator Control Theatre,Biome Projector Chamber | Cultivation Tube Hall | Incubator Control Theatre | Prototype Acceleration Pit | Tundra-to-Desert Test Room,PASS
The Alternating Archives,Grand Libraries & Data Vaults,24,Mid-to-Late,4,Q146,Q195,Odd-Floor Gravity Stack | Even-Floor Ceiling Walk | Front-Matter Guard Hall | Index Lift of 356 | Inverted Reading Chamber,Even-Floor Ceiling Walk | Front-Matter Guard Hall | Index Lift of 356 | Inverted Reading Chamber | Odd-Floor Gravity Stack,PASS
The Revision Labs,Grand Libraries & Data Vaults,25,Mid-to-Late,4,Q147,Q197,Red-Pen Laser Lane | Revision Chamber Floor | Critique Grid Bridge | Health-Bar Edit Sweep | Protocol Judgment Stage,Critique Grid Bridge | Health-Bar Edit Sweep | Protocol Judgment Stage | Red-Pen Laser Lane | Revision Chamber Floor,PASS
The Pocket-Monster Data Plains,Digital & Evolutionary Plains,25,Mid-to-Late,5,Q148,Q214,Grid-Savanna Start | Evolution Bloom Field | Rhythm-Pattern Grove | Data-Fauna Migration Path | Mega-Evolution Hazard Ring,Data-Fauna Migration Path | Evolution Bloom Field | Grid-Savanna Start | Mega-Evolution Hazard Ring | Rhythm-Pattern Grove,PASS
The Lunar Readiness Base,Orbital & Cosmic Fronts,26,Late,5,Q154,Q220,Crater Training Field | Broken Launch Gantry | Low-G Jump Range | Derelict Vessel Skeleton | Lunar Drill Bunker,Broken Launch Gantry | Crater Training Field | Derelict Vessel Skeleton | Low-G Jump Range | Lunar Drill Bunker,PASS
The Orbital Tether Station,Orbital & Cosmic Fronts,28,Late,6,Q164,Q242,Shattered Solar Panel Field | Curvature View Deck | Zero-G Debris Lane | Tether Docking Ring | Solis Artillery Console,Curvature View Deck | Shattered Solar Panel Field | Solis Artillery Console | Tether Docking Ring | Zero-G Debris Lane,PASS
The Planet Defense Perimeter,Orbital & Cosmic Fronts,29,Late,5,Q174,Q243,Orbital Bombardment Lane | Energy Shield Lattice | Automated Turret Ring | Upper Atmosphere Gate | Perimeter Command Halo,Automated Turret Ring | Energy Shield Lattice | Orbital Bombardment Lane | Perimeter Command Halo | Upper Atmosphere Gate,PASS
The Canceled Supabase,Corporate & Quarantine Sectors,31,Late,3,Q176,Q194,Missing Terrain Span | Rollback Platform Field | Version-Control Core | Half-Deployed Service Gate | Reverting Floor Gauntlet,Half-Deployed Service Gate | Missing Terrain Span | Reverting Floor Gauntlet | Rollback Platform Field | Version-Control Core,PASS
The Infinite Archives,Grand Libraries & Data Vaults,31,Late,7,Q178,Q250,Hidden Canopy Entrance | Holographic Archivist Hall | Anti-Gravity Stack Room | History Preservation Vault | Deep Index Sanctum,Anti-Gravity Stack Room | Deep Index Sanctum | Hidden Canopy Entrance | History Preservation Vault | Holographic Archivist Hall,PASS
The Front-Matter Void,Ethereal & Abstract Zones,32,Late,8,Q181,Q249,Blank Page Expanse | Unrendered Ledge Field | Draw-In Geometry Corridor | Invisible Wall Trial | White Horizon Terminus,Blank Page Expanse | Draw-In Geometry Corridor | Invisible Wall Trial | Unrendered Ledge Field | White Horizon Terminus,PASS
The Lich's Court,High-Fantasy Fronts,34,Late,5,Q191,Q241,Stained-Glass Throne Floor | Void Abyss Balcony | Undead Command Gallery | Cracking Court Bridge | Syndicate Lich Dais,Cracking Court Bridge | Stained-Glass Throne Floor | Syndicate Lich Dais | Undead Command Gallery | Void Abyss Balcony,PASS
