quest_id,quest_number,quest_title,act,recommended_level,quest_type,original_primary_location,required_world_map_location,map_category,location_min_level,difficulty_band,required_primary_sublocation,secondary_sublocations,subquest_area_path,map_coverage_purpose,enemy_gate,gating_status
Q011,11,The Child Who Heard the Starwell,1 — Ashes of Meridian Gate,2,Assault,The Broken Lift,The Central Pillar / Star-Elevator Core,World Structure Anchor,1,Early-to-Endgame,World-Pillar Maintenance Ring,Dawnforge Descent Gate | Aether Counterweight Hall | Broken Ventilation Spine,World-Pillar Maintenance Ring > Dawnforge Descent Gate > Aether Counterweight Hall > Broken Ventilation Spine > The Broken Lift > The Central Pillar / Star-Elevator Core exit / hub-state update,"Planetary vertical axis tying surface, underworld, and exosphere routes together","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q012,12,Signal Fires on the Spire,1 — Ashes of Meridian Gate,2,Escort,Archive of First Light,The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,Express-Line Switchroom,Dead Platform Twelve | Train-Hazard Arena | Spark’s Signal Den,Express-Line Switchroom > Dead Platform Twelve > Train-Hazard Arena > Spark’s Signal Den > Archive of First Light > The Subterranean Grid exit / hub-state update,Fast-travel unlock network beneath the Spire,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q013,13,The Broken Lift Descent,1 — Ashes of Meridian Gate,2,Puzzle,The Embermarket,The Provisioning Sectors,Urban Sprawl & Transit Networks,2,Early,Drone Dispatch Alleys,Ration Kiosk Row | Reinforced Storefront Lane | Wall-Run Market Roofs,Drone Dispatch Alleys > Ration Kiosk Row > Reinforced Storefront Lane > Wall-Run Market Roofs > The Embermarket > The Provisioning Sectors exit / hub-state update,Commercial close-quarters district and resource tutorial area,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q014,14,Sable Veyr’s Calling Card,1 — Ashes of Meridian Gate,3,Heist,Crown Battery,The Raid-Rush Choke Points,Urban Sprawl & Transit Networks,3,Early,Barricade Gate Alpha,Crush-Gate Corridor | Militia Sensor Nest | Kill-Lane Overpass,Barricade Gate Alpha > Crush-Gate Corridor > Militia Sensor Nest > Kill-Lane Overpass > Crown Battery > The Raid-Rush Choke Points exit / hub-state update,Swarm-lane defense arena for fodder-control mastery,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q015,15,Refugees at the Crown Battery,1 — Ashes of Meridian Gate,3,Network,Starfall Plaza,The Central Pillar / Star-Elevator Core,World Structure Anchor,1,Early-to-Endgame,Dawnforge Descent Gate,Aether Counterweight Hall | Broken Ventilation Spine | Gravity Cable Junction,Dawnforge Descent Gate > Aether Counterweight Hall > Broken Ventilation Spine > Gravity Cable Junction > Starfall Plaza > The Central Pillar / Star-Elevator Core exit / hub-state update,"Planetary vertical axis tying surface, underworld, and exosphere routes together","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q016,16,Three Locks of First Light,1 — Ashes of Meridian Gate,3,Investigation,Lower Gearworks,The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,Dead Platform Twelve,Train-Hazard Arena | Spark’s Signal Den | Neon Rail Concourse,Dead Platform Twelve > Train-Hazard Arena > Spark’s Signal Den > Neon Rail Concourse > Lower Gearworks > The Subterranean Grid exit / hub-state update,Fast-travel unlock network beneath the Spire,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q017,17,Ambush at the Rain Chain,1 — Ashes of Meridian Gate,3,Rescue,Cloudhook Docks,The Urban Sprawl,Central Hub,1,Early,Alliance Muster Square,Old Wayfinder Stairs | Spire-Foot Transit Plaza | Lower Civic Ring,Alliance Muster Square > Old Wayfinder Stairs > Spire-Foot Transit Plaza > Lower Civic Ring > Cloudhook Docks > The Urban Sprawl exit / hub-state update,Primary onboarding hub and late-game civic return point,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q018,18,The Silent Bell Tower,1 — Ashes of Meridian Gate,3,Defense,The Broken Lift,The Zenith Spire,Central Hub / Vertical Spine,1,Early-to-Endgame,Star-Elevator Spine,Oligarch Glass Suite | Glass Lobby Atrium | Executive Lift Shafts,Star-Elevator Spine > Oligarch Glass Suite > Glass Lobby Atrium > Executive Lift Shafts > The Broken Lift > The Zenith Spire exit / hub-state update,Dead-center vertical megastructure and route to orbital content,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q019,19,The Aether Core Awakens,1 — Ashes of Meridian Gate,3,Stealth,Archive of First Light,The Central Pillar / Star-Elevator Core,World Structure Anchor,1,Early-to-Endgame,Aether Counterweight Hall,Broken Ventilation Spine | Gravity Cable Junction | World-Pillar Maintenance Ring,Aether Counterweight Hall > Broken Ventilation Spine > Gravity Cable Junction > World-Pillar Maintenance Ring > Archive of First Light > The Central Pillar / Star-Elevator Core exit / hub-state update,"Planetary vertical axis tying surface, underworld, and exosphere routes together","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q020,20,Trial of the Meridian Guard,1 — Ashes of Meridian Gate,4,Crafting,The Embermarket,The Subterranean Grid,Forgotten Depths & Industrial Grids,1,Early-to-Mid,Train-Hazard Arena,Spark’s Signal Den | Neon Rail Concourse | Express-Line Switchroom,Train-Hazard Arena > Spark’s Signal Den > Neon Rail Concourse > Express-Line Switchroom > The Embermarket > The Subterranean Grid exit / hub-state update,Fast-travel unlock network beneath the Spire,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q021,21,The False Evacuation Order,1 — Ashes of Meridian Gate,4,Diplomacy,Crown Battery,The Provisioning Sectors,Urban Sprawl & Transit Networks,2,Early,Ration Kiosk Row,Reinforced Storefront Lane | Wall-Run Market Roofs | Vendor Audit Vault,Ration Kiosk Row > Reinforced Storefront Lane > Wall-Run Market Roofs > Vendor Audit Vault > Crown Battery > The Provisioning Sectors exit / hub-state update,Commercial close-quarters district and resource tutorial area,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q022,22,Duel on the Elevator Spine,1 — Ashes of Meridian Gate,4,Dungeon,Starfall Plaza,The Raid-Rush Choke Points,Urban Sprawl & Transit Networks,3,Early,Crush-Gate Corridor,Militia Sensor Nest | Kill-Lane Overpass | Fallback Ammunition Yard,Crush-Gate Corridor > Militia Sensor Nest > Kill-Lane Overpass > Fallback Ammunition Yard > Starfall Plaza > The Raid-Rush Choke Points exit / hub-state update,Swarm-lane defense arena for fodder-control mastery,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q023,23,The Veiled Hand Revealed,1 — Ashes of Meridian Gate,4,Assault,Lower Gearworks,The On-Demand Arteries,Urban Sprawl & Transit Networks,4,Early,RideShare Roofway,Lane-Swap Bridges | Automated Toll Spine | Overpass Leap Chain,RideShare Roofway > Lane-Swap Bridges > Automated Toll Spine > Overpass Leap Chain > Lower Gearworks > The On-Demand Arteries exit / hub-state update,Vehicle-roof traversal and speed-lane combat space,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q024,24,Reignite the Crown Battery,1 — Ashes of Meridian Gate,4,Boss,Cloudhook Docks,The Micro-Transaction Markets,Entertainment & Festival Hubs,4,Early,Slot-Lantern Bazaar,Coin-Dispenser Arcade | Neon Vendor Labyrinth | Prize-Chest Alley,Slot-Lantern Bazaar > Coin-Dispenser Arcade > Neon Vendor Labyrinth > Prize-Chest Alley > Cloudhook Docks > The Micro-Transaction Markets exit / hub-state update,Distracting loot-noise combat hub that tests focus under visual clutter,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q025,25,Meridian Gate Holds,1 — Ashes of Meridian Gate,4,Resolution,The Broken Lift,The Urban Sprawl,Central Hub,1,Early,Old Wayfinder Stairs,Spire-Foot Transit Plaza | Lower Civic Ring | Collapsed Skywalk Lanes,Old Wayfinder Stairs > Spire-Foot Transit Plaza > Lower Civic Ring > Collapsed Skywalk Lanes > The Broken Lift > The Urban Sprawl exit / hub-state update,Primary onboarding hub and late-game civic return point,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q026,26,The Forest Refuses the Map,2 — The Verdant Accord,5,Investigation,Elderbloom Canopy,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Suspended Rope Bridges,Beast-Back Platforms | Upper Canopy Safe Nests | Sanctuary Water Steps,Suspended Rope Bridges > Beast-Back Platforms > Upper Canopy Safe Nests > Sanctuary Water Steps > Elderbloom Canopy > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q027,27,Amberback Crossing,2 — The Verdant Accord,5,Rescue,Amberback Crossing,The Pachyderm Sanctuaries,Conservation Wilds,5,Early,Titan Footfall Basin,Poacher-Drone Blind | Wet Fern Corridor | Sanctuary Feeding Run,Titan Footfall Basin > Poacher-Drone Blind > Wet Fern Corridor > Sanctuary Feeding Run > Amberback Crossing > The Pachyderm Sanctuaries exit / hub-state update,Ground-level titan-preserve where players learn to fight around docile giants,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q028,28,A Village Wrapped in Vines,2 — The Verdant Accord,5,Defense,The Sapglass Labyrinth,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Beast-Back Platforms,Upper Canopy Safe Nests | Sanctuary Water Steps | Kaelen’s Treetop Camp,Beast-Back Platforms > Upper Canopy Safe Nests > Sanctuary Water Steps > Kaelen’s Treetop Camp > The Sapglass Labyrinth > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q029,29,The Rootless Guide,2 — The Verdant Accord,5,Stealth,Rootcourt Hollow,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Upper Canopy Safe Nests,Sanctuary Water Steps | Kaelen’s Treetop Camp | Suspended Rope Bridges,Upper Canopy Safe Nests > Sanctuary Water Steps > Kaelen’s Treetop Camp > Suspended Rope Bridges > Rootcourt Hollow > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q030,30,Sapglass Footprints,2 — The Verdant Accord,5,Crafting,Mosswake Village,The Pachyderm Sanctuaries,Conservation Wilds,5,Early,Poacher-Drone Blind,Wet Fern Corridor | Sanctuary Feeding Run | Ancient Beast Hollow,Poacher-Drone Blind > Wet Fern Corridor > Sanctuary Feeding Run > Ancient Beast Hollow > Mosswake Village > The Pachyderm Sanctuaries exit / hub-state update,Ground-level titan-preserve where players learn to fight around docile giants,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q031,31,The Thorn Choir’s Hymn,2 — The Verdant Accord,5,Diplomacy,Thorn Choir Nursery,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Sanctuary Water Steps,Kaelen’s Treetop Camp | Suspended Rope Bridges | Beast-Back Platforms,Sanctuary Water Steps > Kaelen’s Treetop Camp > Suspended Rope Bridges > Beast-Back Platforms > Thorn Choir Nursery > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q032,32,Spores in the Survey Camp,2 — The Verdant Accord,5,Exploration,Greenfire Basin,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Kaelen’s Treetop Camp,Suspended Rope Bridges | Beast-Back Platforms | Upper Canopy Safe Nests,Kaelen’s Treetop Camp > Suspended Rope Bridges > Beast-Back Platforms > Upper Canopy Safe Nests > Greenfire Basin > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q033,33,A Trial Before Rootcourt,2 — The Verdant Accord,6,Dungeon,Elderbloom Canopy,The Whispering Glade,Ethereal & Resonant Zones,6,Early,Lumenroot Meadow,Glow-Vine Path | Silent Pool | Combo-Lit Hidden Trail,Lumenroot Meadow > Glow-Vine Path > Silent Pool > Combo-Lit Hidden Trail > Elderbloom Canopy > The Whispering Glade exit / hub-state update,Bioluminescent twilight forest that responds to combo meter intensity,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q034,34,Greenfire Samples,2 — The Verdant Accord,6,Boss,Amberback Crossing,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Suspended Rope Bridges,Beast-Back Platforms | Upper Canopy Safe Nests | Sanctuary Water Steps,Suspended Rope Bridges > Beast-Back Platforms > Upper Canopy Safe Nests > Sanctuary Water Steps > Amberback Crossing > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q035,35,The Missing Amberback Calves,2 — The Verdant Accord,6,Moral,The Sapglass Labyrinth,The Pachyderm Sanctuaries,Conservation Wilds,5,Early,Wet Fern Corridor,Sanctuary Feeding Run | Ancient Beast Hollow | Titan Footfall Basin,Wet Fern Corridor > Sanctuary Feeding Run > Ancient Beast Hollow > Titan Footfall Basin > The Sapglass Labyrinth > The Pachyderm Sanctuaries exit / hub-state update,Ground-level titan-preserve where players learn to fight around docile giants,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q036,36,Nursery of Borrowed Faces,2 — The Verdant Accord,6,Assault,Rootcourt Hollow,The Canopy Portrait Halls,Conservation Wilds,6,Early,Mural Vestibule,Vine-Swing Nave | Pressure-Plate Gallery | Root-Sealed Reliquary,Mural Vestibule > Vine-Swing Nave > Pressure-Plate Gallery > Root-Sealed Reliquary > Rootcourt Hollow > The Canopy Portrait Halls exit / hub-state update,"Overgrown temple complex with murals, vines, and pressure plates","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q037,37,The Biomancer’s Debt,2 — The Verdant Accord,6,Escort,Mosswake Village,The Whispering Glade,Ethereal & Resonant Zones,6,Early,Glow-Vine Path,Silent Pool | Combo-Lit Hidden Trail | Twilight Elite Clearing,Glow-Vine Path > Silent Pool > Combo-Lit Hidden Trail > Twilight Elite Clearing > Mosswake Village > The Whispering Glade exit / hub-state update,Bioluminescent twilight forest that responds to combo meter intensity,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q038,38,The River That Flows Upward,2 — The Verdant Accord,6,Puzzle,Thorn Choir Nursery,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Beast-Back Platforms,Upper Canopy Safe Nests | Sanctuary Water Steps | Kaelen’s Treetop Camp,Beast-Back Platforms > Upper Canopy Safe Nests > Sanctuary Water Steps > Kaelen’s Treetop Camp > Thorn Choir Nursery > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q039,39,Three Seeds of Consent,2 — The Verdant Accord,7,Heist,Greenfire Basin,The Whispering Glade,Ethereal & Resonant Zones,6,Early,Silent Pool,Combo-Lit Hidden Trail | Twilight Elite Clearing | Lumenroot Meadow,Silent Pool > Combo-Lit Hidden Trail > Twilight Elite Clearing > Lumenroot Meadow > Greenfire Basin > The Whispering Glade exit / hub-state update,Bioluminescent twilight forest that responds to combo meter intensity,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q040,40,Rook’s Broken Oath,2 — The Verdant Accord,7,Network,Elderbloom Canopy,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Upper Canopy Safe Nests,Sanctuary Water Steps | Kaelen’s Treetop Camp | Suspended Rope Bridges,Upper Canopy Safe Nests > Sanctuary Water Steps > Kaelen’s Treetop Camp > Suspended Rope Bridges > Elderbloom Canopy > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q041,41,The Sapglass Labyrinth,2 — The Verdant Accord,7,Investigation,Amberback Crossing,The Whispering Glade,Ethereal & Resonant Zones,6,Early,Combo-Lit Hidden Trail,Twilight Elite Clearing | Lumenroot Meadow | Glow-Vine Path,Combo-Lit Hidden Trail > Twilight Elite Clearing > Lumenroot Meadow > Glow-Vine Path > Amberback Crossing > The Whispering Glade exit / hub-state update,Bioluminescent twilight forest that responds to combo meter intensity,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q042,42,Huntress Mael’s Red Trail,2 — The Verdant Accord,7,Rescue,The Sapglass Labyrinth,The Emerald Canopy Sanctuary,Terrestrial Sanctuaries,5,Early,Sanctuary Water Steps,Kaelen’s Treetop Camp | Suspended Rope Bridges | Beast-Back Platforms,Sanctuary Water Steps > Kaelen’s Treetop Camp > Suspended Rope Bridges > Beast-Back Platforms > The Sapglass Labyrinth > The Emerald Canopy Sanctuary exit / hub-state update,Main jungle sanctuary and introduction to canopy traversal,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q043,43,The Graft-King’s First Bloom,2 — The Verdant Accord,7,Defense,Rootcourt Hollow,The Pachyderm Sanctuaries,Conservation Wilds,5,Early,Sanctuary Feeding Run,Ancient Beast Hollow | Titan Footfall Basin | Poacher-Drone Blind,Sanctuary Feeding Run > Ancient Beast Hollow > Titan Footfall Basin > Poacher-Drone Blind > Rootcourt Hollow > The Pachyderm Sanctuaries exit / hub-state update,Ground-level titan-preserve where players learn to fight around docile giants,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q044,44,Verdant Cipher Fragment,2 — The Verdant Accord,7,Stealth,Mosswake Village,The Canopy Portrait Halls,Conservation Wilds,6,Early,Vine-Swing Nave,Pressure-Plate Gallery | Root-Sealed Reliquary | Collapsed Fresco Walk,Vine-Swing Nave > Pressure-Plate Gallery > Root-Sealed Reliquary > Collapsed Fresco Walk > Mosswake Village > The Canopy Portrait Halls exit / hub-state update,"Overgrown temple complex with murals, vines, and pressure plates","Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q045,45,Mosswake Under Siege,2 — The Verdant Accord,8,Crafting,Thorn Choir Nursery,The Whispering Glade,Ethereal & Resonant Zones,6,Early,Twilight Elite Clearing,Lumenroot Meadow | Glow-Vine Path | Silent Pool,Twilight Elite Clearing > Lumenroot Meadow > Glow-Vine Path > Silent Pool > Thorn Choir Nursery > The Whispering Glade exit / hub-state update,Bioluminescent twilight forest that responds to combo meter intensity,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
Q046,46,The Speaking Grove,2 — The Verdant Accord,8,Diplomacy,Greenfire Basin,The Evolution Arenas,Conservation Wilds,7,Early,Dormant Crater Floor,Rising Pillar Ring | Adaptive Pit Lanes | Elemental Hazard Crown | Arena Evolution Core,Dormant Crater Floor > Rising Pillar Ring > Adaptive Pit Lanes > Elemental Hazard Crown > Arena Evolution Core > Greenfire Basin > The Evolution Arenas exit / hub-state update,Kinetic crater arenas that evolve with combo performance,"Early-only gate: Grid-Rushers, Gnarl-Maws, Scrap-Phalanx, Siphon-Ticks. No level-20+ or late-game monsters.",PASS
