event_id,event_title,world_map_location,sublocation,required_player_level,monster,variant_name,role_in_event,standard_level,effective_event_level,standard_hp,event_hp,standard_damage,event_damage,standard_armor,event_armor,standard_shield,event_shield,standard_stagger_resistance,event_stagger_resistance,standard_speed_scalar,event_speed_scalar,standard_base_xp,event_xp_reward,mechanic_basis,raised_from_standard_summary
SEV-001,Overcharged Incident: Spire-Foot Transit Plaza,The Urban Sprawl,Spire-Foot Transit Plaza,20,Null Anomaly,Overcharged Null Anomaly,Primary Variant / Event Anchor,20,22,18000,25752,560,736,35,43,90,107,105,129,1.1,1.15,12000,0,Echo Splintering; Gravity Reversal,HP x1.43; DMG x1.31; ARM x1.23
SEV-011,Data-Forged Incident: Aether Counterweight Hall,The Central Pillar / Star-Elevator Core,Aether Counterweight Hall,21,Tremor-Fiend,Data-Forged Tremor-Fiend,Support Variant 1,18,23,1800,3914,120,220,40,57,0,0,65,93,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.17; DMG x1.84; ARM x1.43
SEV-011,Data-Forged Incident: Aether Counterweight Hall,The Central Pillar / Star-Elevator Core,Aether Counterweight Hall,21,Iron-Jaw Hound,Data-Forged Iron-Jaw Hound,Support Variant 2,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-012,Ash-Baptized Incident: Broken Ventilation Spine,The Central Pillar / Star-Elevator Core,Broken Ventilation Spine,21,Tremor-Fiend,Ash-Baptized Tremor-Fiend,Primary Variant / Event Anchor,18,23,1800,3914,120,220,40,57,0,0,65,93,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.17; DMG x1.84; ARM x1.43
SEV-012,Ash-Baptized Incident: Broken Ventilation Spine,The Central Pillar / Star-Elevator Core,Broken Ventilation Spine,21,Aegis Carapace,Ash-Baptized Aegis Carapace,Support Variant 1,12,23,1100,4237,60,175,55,96,50,84,45,79,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.85; DMG x2.91; ARM x1.75
SEV-012,Ash-Baptized Incident: Broken Ventilation Spine,The Central Pillar / Star-Elevator Core,Broken Ventilation Spine,21,Venom-Spitter,Ash-Baptized Venom-Spitter,Support Variant 2,15,23,700,2026,65,150,15,24,0,0,20,32,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.89; DMG x2.31; ARM x1.58
SEV-013,Tide-Broken Incident: Gravity Cable Junction,The Central Pillar / Star-Elevator Core,Gravity Cable Junction,21,Aegis Carapace,Tide-Broken Aegis Carapace,Primary Variant / Event Anchor,12,23,1100,4237,60,175,55,96,50,84,45,79,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.85; DMG x2.91; ARM x1.75
SEV-013,Tide-Broken Incident: Gravity Cable Junction,The Central Pillar / Star-Elevator Core,Gravity Cable Junction,21,Venom-Spitter,Tide-Broken Venom-Spitter,Support Variant 1,15,23,700,2026,65,150,15,24,0,0,20,32,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.89; DMG x2.31; ARM x1.58
SEV-013,Tide-Broken Incident: Gravity Cable Junction,The Central Pillar / Star-Elevator Core,Gravity Cable Junction,21,Iron-Jaw Hound,Tide-Broken Iron-Jaw Hound,Support Variant 2,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-014,Magnetized Incident: World-Pillar Maintenance Ring,The Central Pillar / Star-Elevator Core,World-Pillar Maintenance Ring,21,Iron-Jaw Hound,Magnetized Iron-Jaw Hound,Primary Variant / Event Anchor,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-014,Magnetized Incident: World-Pillar Maintenance Ring,The Central Pillar / Star-Elevator Core,World-Pillar Maintenance Ring,21,Tremor-Fiend,Magnetized Tremor-Fiend,Support Variant 1,18,23,1800,3914,120,220,40,57,0,0,65,93,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.17; DMG x1.84; ARM x1.43
SEV-014,Magnetized Incident: World-Pillar Maintenance Ring,The Central Pillar / Star-Elevator Core,World-Pillar Maintenance Ring,21,Venom-Spitter,Magnetized Venom-Spitter,Support Variant 2,15,23,700,2026,65,150,15,24,0,0,20,32,1.05,1.13,75,0,Telegraphed Projectiles; Projectile Reversal,HP x2.89; DMG x2.31; ARM x1.58
SEV-015,Sonic-Scarred Incident: Dawnforge Descent Gate,The Central Pillar / Star-Elevator Core,Dawnforge Descent Gate,21,Null Anomaly,Sonic-Scarred Null Anomaly,Primary Variant / Event Anchor,20,23,18000,27683,560,780,35,45,90,111,105,134,1.1,1.15,12000,0,Echo Splintering; Gravity Reversal,HP x1.54; DMG x1.39; ARM x1.28
SEV-015,Sonic-Scarred Incident: Dawnforge Descent Gate,The Central Pillar / Star-Elevator Core,Dawnforge Descent Gate,21,Tremor-Fiend,Sonic-Scarred Tremor-Fiend,Support Variant 1,18,23,1800,3914,120,220,40,57,0,0,65,93,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.17; DMG x1.84; ARM x1.43
SEV-015,Sonic-Scarred Incident: Dawnforge Descent Gate,The Central Pillar / Star-Elevator Core,Dawnforge Descent Gate,21,Iron-Jaw Hound,Sonic-Scarred Iron-Jaw Hound,Support Variant 2,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-016,Glass-Hardened Incident: Neon Rail Concourse,The Subterranean Grid,Neon Rail Concourse,21,Tremor-Fiend,Glass-Hardened Tremor-Fiend,Primary Variant / Event Anchor,18,23,1800,3914,120,220,40,57,0,0,65,93,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.17; DMG x1.84; ARM x1.43
SEV-016,Glass-Hardened Incident: Neon Rail Concourse,The Subterranean Grid,Neon Rail Concourse,21,Aegis Carapace,Glass-Hardened Aegis Carapace,Support Variant 1,12,23,1100,4237,60,175,55,96,50,84,45,79,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x3.85; DMG x2.91; ARM x1.75
SEV-016,Glass-Hardened Incident: Neon Rail Concourse,The Subterranean Grid,Neon Rail Concourse,21,Scrap-Phalanx,Glass-Hardened Scrap-Phalanx,Support Variant 2,6,23,280,1911,18,83,35,75,25,52,25,54,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x6.82; DMG x4.63; ARM x2.15
SEV-017,Spore-Sick Incident: Express-Line Switchroom,The Subterranean Grid,Express-Line Switchroom,21,Scrap-Phalanx,Spore-Sick Scrap-Phalanx,Primary Variant / Event Anchor,6,23,280,1911,18,83,35,75,25,52,25,54,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x6.82; DMG x4.63; ARM x2.15
SEV-017,Spore-Sick Incident: Express-Line Switchroom,The Subterranean Grid,Express-Line Switchroom,21,Tremor-Fiend,Spore-Sick Tremor-Fiend,Support Variant 1,18,23,1800,3914,120,220,40,57,0,0,65,93,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.17; DMG x1.84; ARM x1.43
SEV-017,Spore-Sick Incident: Express-Line Switchroom,The Subterranean Grid,Express-Line Switchroom,21,Iron-Jaw Hound,Spore-Sick Iron-Jaw Hound,Support Variant 2,13,23,950,3326,75,202,30,51,0,0,35,59,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.50; DMG x2.70; ARM x1.69
SEV-018,Eclipse-Synced Incident: Dead Platform Twelve,The Subterranean Grid,Dead Platform Twelve,22,Aegis Carapace,Eclipse-Synced Aegis Carapace,Primary Variant / Event Anchor,12,24,1100,4661,60,189,55,100,50,87,45,82,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x4.24; DMG x3.15; ARM x1.81
SEV-018,Eclipse-Synced Incident: Dead Platform Twelve,The Subterranean Grid,Dead Platform Twelve,22,Scrap-Phalanx,Eclipse-Synced Scrap-Phalanx,Support Variant 1,6,24,280,2102,18,90,35,78,25,53,25,56,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x7.51; DMG x5.00; ARM x2.23
SEV-018,Eclipse-Synced Incident: Dead Platform Twelve,The Subterranean Grid,Dead Platform Twelve,22,Tremor-Fiend,Eclipse-Synced Tremor-Fiend,Support Variant 2,18,24,1800,4305,120,238,40,59,0,0,65,96,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.39; DMG x1.98; ARM x1.48
SEV-019,Overcharged Incident: Train-Hazard Arena,The Subterranean Grid,Train-Hazard Arena,22,Iron-Jaw Hound,Overcharged Iron-Jaw Hound,Primary Variant / Event Anchor,13,24,950,3659,75,219,30,53,0,0,35,61,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.85; DMG x2.91; ARM x1.75
SEV-019,Overcharged Incident: Train-Hazard Arena,The Subterranean Grid,Train-Hazard Arena,22,Aegis Carapace,Overcharged Aegis Carapace,Support Variant 1,12,24,1100,4661,60,189,55,100,50,87,45,82,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x4.24; DMG x3.15; ARM x1.81
SEV-019,Overcharged Incident: Train-Hazard Arena,The Subterranean Grid,Train-Hazard Arena,22,Scrap-Phalanx,Overcharged Scrap-Phalanx,Support Variant 2,6,24,280,2102,18,90,35,78,25,53,25,56,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x7.51; DMG x5.00; ARM x2.23
SEV-020,Bark-Crowned Incident: Spark’s Signal Den,The Subterranean Grid,Spark’s Signal Den,22,Tremor-Fiend,Bark-Crowned Tremor-Fiend,Primary Variant / Event Anchor,18,24,1800,4305,120,238,40,59,0,0,65,96,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.39; DMG x1.98; ARM x1.48
SEV-020,Bark-Crowned Incident: Spark’s Signal Den,The Subterranean Grid,Spark’s Signal Den,22,Iron-Jaw Hound,Bark-Crowned Iron-Jaw Hound,Support Variant 1,13,24,950,3659,75,219,30,53,0,0,35,61,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.85; DMG x2.91; ARM x1.75
SEV-020,Bark-Crowned Incident: Spark’s Signal Den,The Subterranean Grid,Spark’s Signal Den,22,Aegis Carapace,Bark-Crowned Aegis Carapace,Support Variant 2,12,24,1100,4661,60,189,55,100,50,87,45,82,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x4.24; DMG x3.15; ARM x1.81
SEV-021,Echo-Split Incident: Drone Dispatch Alleys,The Provisioning Sectors,Drone Dispatch Alleys,22,Scrap-Phalanx,Echo-Split Scrap-Phalanx,Primary Variant / Event Anchor,6,24,280,2102,18,90,35,78,25,53,25,56,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x7.51; DMG x5.00; ARM x2.23
SEV-021,Echo-Split Incident: Drone Dispatch Alleys,The Provisioning Sectors,Drone Dispatch Alleys,22,Aegis Carapace,Echo-Split Aegis Carapace,Support Variant 1,12,24,1100,4661,60,189,55,100,50,87,45,82,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x4.24; DMG x3.15; ARM x1.81
SEV-021,Echo-Split Incident: Drone Dispatch Alleys,The Provisioning Sectors,Drone Dispatch Alleys,22,Tremor-Fiend,Echo-Split Tremor-Fiend,Support Variant 2,18,24,1800,4305,120,238,40,59,0,0,65,96,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.39; DMG x1.98; ARM x1.48
SEV-022,Null-Branded Incident: Ration Kiosk Row,The Provisioning Sectors,Ration Kiosk Row,22,Null Anomaly,Null-Branded Null Anomaly,Primary Variant / Event Anchor,20,24,18000,29760,560,827,35,46,90,115,105,139,1.1,1.15,12000,0,Echo Splintering; Gravity Reversal,HP x1.65; DMG x1.48; ARM x1.32
SEV-022,Null-Branded Incident: Ration Kiosk Row,The Provisioning Sectors,Ration Kiosk Row,22,Iron-Jaw Hound,Null-Branded Iron-Jaw Hound,Support Variant 1,13,24,950,3659,75,219,30,53,0,0,35,61,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.85; DMG x2.91; ARM x1.75
SEV-022,Null-Branded Incident: Ration Kiosk Row,The Provisioning Sectors,Ration Kiosk Row,22,Scrap-Phalanx,Null-Branded Scrap-Phalanx,Support Variant 2,6,24,280,2102,18,90,35,78,25,53,25,56,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x7.51; DMG x5.00; ARM x2.23
SEV-023,Rhythm-Warped Incident: Reinforced Storefront Lane,The Provisioning Sectors,Reinforced Storefront Lane,22,Iron-Jaw Hound,Rhythm-Warped Iron-Jaw Hound,Primary Variant / Event Anchor,13,24,950,3659,75,219,30,53,0,0,35,61,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.85; DMG x2.91; ARM x1.75
SEV-023,Rhythm-Warped Incident: Reinforced Storefront Lane,The Provisioning Sectors,Reinforced Storefront Lane,22,Tremor-Fiend,Rhythm-Warped Tremor-Fiend,Support Variant 1,18,24,1800,4305,120,238,40,59,0,0,65,96,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.39; DMG x1.98; ARM x1.48
SEV-023,Rhythm-Warped Incident: Reinforced Storefront Lane,The Provisioning Sectors,Reinforced Storefront Lane,22,Aegis Carapace,Rhythm-Warped Aegis Carapace,Support Variant 2,12,24,1100,4661,60,189,55,100,50,87,45,82,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x4.24; DMG x3.15; ARM x1.81
SEV-024,Grav-Torn Incident: Wall-Run Market Roofs,The Provisioning Sectors,Wall-Run Market Roofs,22,Tremor-Fiend,Grav-Torn Tremor-Fiend,Primary Variant / Event Anchor,18,24,1800,4305,120,238,40,59,0,0,65,96,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.39; DMG x1.98; ARM x1.48
SEV-024,Grav-Torn Incident: Wall-Run Market Roofs,The Provisioning Sectors,Wall-Run Market Roofs,22,Scrap-Phalanx,Grav-Torn Scrap-Phalanx,Support Variant 1,6,24,280,2102,18,90,35,78,25,53,25,56,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x7.51; DMG x5.00; ARM x2.23
SEV-024,Grav-Torn Incident: Wall-Run Market Roofs,The Provisioning Sectors,Wall-Run Market Roofs,22,Iron-Jaw Hound,Grav-Torn Iron-Jaw Hound,Support Variant 2,13,24,950,3659,75,219,30,53,0,0,35,61,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.85; DMG x2.91; ARM x1.75
SEV-025,Ablative Incident: Vendor Audit Vault,The Provisioning Sectors,Vendor Audit Vault,22,Scrap-Phalanx,Ablative Scrap-Phalanx,Primary Variant / Event Anchor,6,24,280,2102,18,90,35,78,25,53,25,56,0.7,0.76,15,0,Turtle Shell; Scatter Strike requirement,HP x7.51; DMG x5.00; ARM x2.23
SEV-025,Ablative Incident: Vendor Audit Vault,The Provisioning Sectors,Vendor Audit Vault,22,Iron-Jaw Hound,Ablative Iron-Jaw Hound,Support Variant 1,13,24,950,3659,75,219,30,53,0,0,35,61,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.85; DMG x2.91; ARM x1.75
SEV-025,Ablative Incident: Vendor Audit Vault,The Provisioning Sectors,Vendor Audit Vault,22,Aegis Carapace,Ablative Aegis Carapace,Support Variant 2,12,24,1100,4661,60,189,55,100,50,87,45,82,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x4.24; DMG x3.15; ARM x1.81
SEV-026,Phase-Bound Incident: Barricade Gate Alpha,The Raid-Rush Choke Points,Barricade Gate Alpha,22,Aegis Carapace,Phase-Bound Aegis Carapace,Primary Variant / Event Anchor,12,24,1100,4661,60,189,55,100,50,87,45,82,0.8,0.86,40,0,Frontal Deflection; Vault-Over Vulnerability,HP x4.24; DMG x3.15; ARM x1.81
SEV-026,Phase-Bound Incident: Barricade Gate Alpha,The Raid-Rush Choke Points,Barricade Gate Alpha,22,Tremor-Fiend,Phase-Bound Tremor-Fiend,Support Variant 1,18,24,1800,4305,120,238,40,59,0,0,65,96,0.75,0.81,125,0,Metronome Strike; Sonic Bellow,HP x2.39; DMG x1.98; ARM x1.48
SEV-026,Phase-Bound Incident: Barricade Gate Alpha,The Raid-Rush Choke Points,Barricade Gate Alpha,22,Iron-Jaw Hound,Phase-Bound Iron-Jaw Hound,Support Variant 2,13,24,950,3659,75,219,30,53,0,0,35,61,1.25,1.35,55,0,Latch; teammate vault-kick assist,HP x3.85; DMG x2.91; ARM x1.75
