quest_id,subquest_number,objective
SW-PG-007,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Law Amulet of the Dawnshield Covenant."
SW-PG-008,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-008,2,"Enter Highdock Crown, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-008,3,"Push into Founder Seat Chamber and solve an epochal lock whose answer changes unless the player stabilizes the present moment, using the encounter rule set: time-locked mechanisms, mirrored symbols, and present-tense anchors."
SW-PG-008,4,"Confront an operative, construct, or lieutenant-proxy from The First-Second Cell, prevent the failure state where the lock will reset the room to a hostile past configuration, and extract the Order cipher intact."
SW-PG-008,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Paradox Cloak of the Dawnshield Covenant."
SW-PG-009,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-009,2,"Enter Founder Seat Chamber, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-009,3,"Push into Oath-Ring Observatory and move a living witness, ship core, or oath archive through Order interdiction lanes, using the encounter rule set: route hazards, ambush windows, and temporal drag on the protected target."
SW-PG-009,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Aether Relic of the Dawnshield Covenant."
SW-PG-010,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The First-Second Cell under Chronologer Vaelis Ruun."
SW-PG-010,2,"Enter Oath-Ring Observatory, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the epochal redaction glyphs that delete witness testimony from the present can corrupt the scene."
SW-PG-010,3,"Push into Aerie of the Dawnshield and defeat an empowered boss echo reconstructed by the Order from stolen postwar memory, using the encounter rule set: empowered boss patterns, Order glyph shields, and phase changes based on stolen memories."
SW-PG-010,4,"Confront an operative, construct, or lieutenant-proxy from The First-Second Cell, prevent the failure state where the echo will imprint itself into the next Order cell, and extract the Order cipher intact."
SW-PG-010,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim EPI Prime Instrument of the Sky Wardens."
SW-PG-011,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-011,2,"Enter Cloud Barracks, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-011,3,"Push into Living Garden Deck and build a verified evidence chain before the Order can redact the scene, using the encounter rule set: redaction fog, witness contradictions, and evidence nodes that decay unless stabilized."
SW-PG-011,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Omega Sovereign Armament of the Sky Wardens."
SW-PG-012,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-012,2,"Enter Living Garden Deck, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-012,3,"Push into Skyship Hangar and hold the line against Order epoch-raiders while civilians and ship systems evacuate, using the encounter rule set: wave pressure, breach timers, and Order time-flare pylons that accelerate enemy spawns."
SW-PG-012,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Genome Helmet of the Dawnshield Covenant."
SW-PG-013,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-013,2,"Enter Skyship Hangar, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-013,3,"Push into Aether Thruster Bay and breach the Order cell’s fortified position and destroy its command focus, using the encounter rule set: shielded ritual captains, breach lanes, and chronal artillery windows."
SW-PG-013,4,"Confront an operative, construct, or lieutenant-proxy from The Oathless Wing, prevent the failure state where the cell will scatter to a harder future encounter, and extract the Order cipher intact."
SW-PG-013,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Chimera Chest of the Dawnshield Covenant."
SW-PG-014,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-014,2,"Enter Aether Thruster Bay, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-014,3,"Push into Aerie Infirmary Spire and clear a multi-room Order facility, defeat its elite custodian, and recover the sealed proof, using the encounter rule set: three chambers, one era-lock puzzle, one elite Order custodian, and a final proof vault."
SW-PG-014,4,"Confront an operative, construct, or lieutenant-proxy from The Oathless Wing, prevent the failure state where the facility will lock itself one hour outside normal time, and extract the Order cipher intact."
SW-PG-014,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Evolution Gauntlets of the Dawnshield Covenant."
SW-PG-015,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-015,2,"Enter Aerie Infirmary Spire, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-015,3,"Push into Cloud Barracks and extract captured Sky Wardens or witnesses before their timelines are rewritten, using the encounter rule set: moving prisoners, fake rescue signals, and Order voice-mask decoys."
SW-PG-015,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Carapace Boots of the Dawnshield Covenant."
SW-PG-016,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-016,2,"Enter Cloud Barracks, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-016,3,"Push into Living Garden Deck and steal an Order ledger, chronal key, or black-oath cipher without triggering an era-lock, using the encounter rule set: stealth routes, rotating patrol years, alarm clocks, and optional evidence caches."
SW-PG-016,4,"Confront an operative, construct, or lieutenant-proxy from The Oathless Wing, prevent the failure state where the ledger will burn backward into an earlier year, and extract the Order cipher intact."
SW-PG-016,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Fang Ring of the Dawnshield Covenant."
SW-PG-017,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-017,2,"Enter Living Garden Deck, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-017,3,"Push into Skyship Hangar and expose an Order sympathizer inside a council proceeding without breaking the alliance compact, using the encounter rule set: testimony sequencing, proof challenges, and Order plants trying to poison the record."
SW-PG-017,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Catalyst Amulet of the Dawnshield Covenant."
SW-PG-018,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-018,2,"Enter Skyship Hangar, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-018,3,"Push into Aether Thruster Bay and solve an epochal lock whose answer changes unless the player stabilizes the present moment, using the encounter rule set: time-locked mechanisms, mirrored symbols, and present-tense anchors."
SW-PG-018,4,"Confront an operative, construct, or lieutenant-proxy from The Oathless Wing, prevent the failure state where the lock will reset the room to a hostile past configuration, and extract the Order cipher intact."
SW-PG-018,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Apex Cloak of the Dawnshield Covenant."
SW-PG-019,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-019,2,"Enter Aether Thruster Bay, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-019,3,"Push into Aerie Infirmary Spire and move a living witness, ship core, or oath archive through Order interdiction lanes, using the encounter rule set: route hazards, ambush windows, and temporal drag on the protected target."
SW-PG-019,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Data-Beast Relic of the Dawnshield Covenant."
SW-PG-020,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Oathless Wing under Prelate Iovara Mneme."
SW-PG-020,2,"Enter Aerie Infirmary Spire, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the evolving oath-masks that copy Sky Warden voices, ranks, and command gestures can corrupt the scene."
SW-PG-020,3,"Push into Cloud Barracks and defeat an empowered boss echo reconstructed by the Order from stolen postwar memory, using the encounter rule set: empowered boss patterns, Order glyph shields, and phase changes based on stolen memories."
SW-PG-020,4,"Confront an operative, construct, or lieutenant-proxy from The Oathless Wing, prevent the failure state where the echo will imprint itself into the next Order cell, and extract the Order cipher intact."
SW-PG-020,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Ascendancy Prime Instrument of the Sky Wardens."
SW-PG-021,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-021,2,"Enter Resonant Peaks, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-021,3,"Push into Sonic Badlands and build a verified evidence chain before the Order can redact the scene, using the encounter rule set: redaction fog, witness contradictions, and evidence nodes that decay unless stabilized."
SW-PG-021,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Bass Sovereign Armament of the Sky Wardens."
SW-PG-022,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-022,2,"Enter Sonic Badlands, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-022,3,"Push into Rhyming Labyrinths and hold the line against Order epoch-raiders while civilians and ship systems evacuate, using the encounter rule set: wave pressure, breach timers, and Order time-flare pylons that accelerate enemy spawns."
SW-PG-022,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Tempo Helmet of the Dawnshield Covenant."
SW-PG-023,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-023,2,"Enter Rhyming Labyrinths, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-023,3,"Push into Phonetic Wastes and breach the Order cell’s fortified position and destroy its command focus, using the encounter rule set: shielded ritual captains, breach lanes, and chronal artillery windows."
SW-PG-023,4,"Confront an operative, construct, or lieutenant-proxy from The Backward Bell Choir, prevent the failure state where the cell will scatter to a harder future encounter, and extract the Order cipher intact."
SW-PG-023,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Echo Chest of the Dawnshield Covenant."
SW-PG-024,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-024,2,"Enter Phonetic Wastes, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-024,3,"Push into Whispering Glade and clear a multi-room Order facility, defeat its elite custodian, and recover the sealed proof, using the encounter rule set: three chambers, one era-lock puzzle, one elite Order custodian, and a final proof vault."
SW-PG-024,4,"Confront an operative, construct, or lieutenant-proxy from The Backward Bell Choir, prevent the failure state where the facility will lock itself one hour outside normal time, and extract the Order cipher intact."
SW-PG-024,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Frequency Gauntlets of the Dawnshield Covenant."
SW-PG-025,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-025,2,"Enter Whispering Glade, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-025,3,"Push into Resonant Peaks and extract captured Sky Wardens or witnesses before their timelines are rewritten, using the encounter rule set: moving prisoners, fake rescue signals, and Order voice-mask decoys."
SW-PG-025,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Metronome Boots of the Dawnshield Covenant."
SW-PG-026,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-026,2,"Enter Resonant Peaks, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-026,3,"Push into Sonic Badlands and steal an Order ledger, chronal key, or black-oath cipher without triggering an era-lock, using the encounter rule set: stealth routes, rotating patrol years, alarm clocks, and optional evidence caches."
SW-PG-026,4,"Confront an operative, construct, or lieutenant-proxy from The Backward Bell Choir, prevent the failure state where the ledger will burn backward into an earlier year, and extract the Order cipher intact."
SW-PG-026,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Sub-Harmonic Ring of the Dawnshield Covenant."
SW-PG-027,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-027,2,"Enter Sonic Badlands, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-027,3,"Push into Rhyming Labyrinths and expose an Order sympathizer inside a council proceeding without breaking the alliance compact, using the encounter rule set: testimony sequencing, proof challenges, and Order plants trying to poison the record."
SW-PG-027,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Chord Amulet of the Dawnshield Covenant."
SW-PG-028,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-028,2,"Enter Rhyming Labyrinths, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-028,3,"Push into Phonetic Wastes and solve an epochal lock whose answer changes unless the player stabilizes the present moment, using the encounter rule set: time-locked mechanisms, mirrored symbols, and present-tense anchors."
SW-PG-028,4,"Confront an operative, construct, or lieutenant-proxy from The Backward Bell Choir, prevent the failure state where the lock will reset the room to a hostile past configuration, and extract the Order cipher intact."
SW-PG-028,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Soundscape Cloak of the Dawnshield Covenant."
SW-PG-029,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-029,2,"Enter Phonetic Wastes, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-029,3,"Push into Whispering Glade and move a living witness, ship core, or oath archive through Order interdiction lanes, using the encounter rule set: route hazards, ambush windows, and temporal drag on the protected target."
SW-PG-029,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Festival Relic of the Dawnshield Covenant."
SW-PG-030,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Backward Bell Choir under Cantor Selven Thrice."
SW-PG-030,2,"Enter Whispering Glade, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the choral war-signals that make pilots hear the wrong era of the battlefield can corrupt the scene."
SW-PG-030,3,"Push into Resonant Peaks and defeat an empowered boss echo reconstructed by the Order from stolen postwar memory, using the encounter rule set: empowered boss patterns, Order glyph shields, and phase changes based on stolen memories."
SW-PG-030,4,"Confront an operative, construct, or lieutenant-proxy from The Backward Bell Choir, prevent the failure state where the echo will imprint itself into the next Order cell, and extract the Order cipher intact."
SW-PG-030,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Resonance Prime Instrument of the Sky Wardens."
SW-PG-031,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Leash-Cutter Lodge under Handler-Magister Korr Veyth."
SW-PG-031,2,"Enter Sparrowhook Flight Lane, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the anti-pack sigils that turn loyal escorts into isolated targets can corrupt the scene."
SW-PG-031,3,"Push into Tempest Frigate Deck and build a verified evidence chain before the Order can redact the scene, using the encounter rule set: redaction fog, witness contradictions, and evidence nodes that decay unless stabilized."
SW-PG-031,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Hound Sovereign Armament of the Sky Wardens."
SW-PG-032,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Leash-Cutter Lodge under Handler-Magister Korr Veyth."
SW-PG-032,2,"Enter Tempest Frigate Deck, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the anti-pack sigils that turn loyal escorts into isolated targets can corrupt the scene."
SW-PG-032,3,"Push into Stormglass Carrier Bay and hold the line against Order epoch-raiders while civilians and ship systems evacuate, using the encounter rule set: wave pressure, breach timers, and Order time-flare pylons that accelerate enemy spawns."
SW-PG-032,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Alpha Helmet of the Dawnshield Covenant."
SW-PG-033,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Leash-Cutter Lodge under Handler-Magister Korr Veyth."
SW-PG-033,2,"Enter Stormglass Carrier Bay, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the anti-pack sigils that turn loyal escorts into isolated targets can corrupt the scene."
SW-PG-033,3,"Push into Warden Horizon Command Ark and breach the Order cell’s fortified position and destroy its command focus, using the encounter rule set: shielded ritual captains, breach lanes, and chronal artillery windows."
SW-PG-033,4,"Confront an operative, construct, or lieutenant-proxy from The Leash-Cutter Lodge, prevent the failure state where the cell will scatter to a harder future encounter, and extract the Order cipher intact."
SW-PG-033,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Pack Chest of the Dawnshield Covenant."
SW-PG-034,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Leash-Cutter Lodge under Handler-Magister Korr Veyth."
SW-PG-034,2,"Enter Warden Horizon Command Ark, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the anti-pack sigils that turn loyal escorts into isolated targets can corrupt the scene."
SW-PG-034,3,"Push into Aerie Kennel Deck and clear a multi-room Order facility, defeat its elite custodian, and recover the sealed proof, using the encounter rule set: three chambers, one era-lock puzzle, one elite Order custodian, and a final proof vault."
SW-PG-034,4,"Confront an operative, construct, or lieutenant-proxy from The Leash-Cutter Lodge, prevent the failure state where the facility will lock itself one hour outside normal time, and extract the Order cipher intact."
SW-PG-034,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Latch Gauntlets of the Dawnshield Covenant."
SW-PG-035,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Leash-Cutter Lodge under Handler-Magister Korr Veyth."
SW-PG-035,2,"Enter Aerie Kennel Deck, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the anti-pack sigils that turn loyal escorts into isolated targets can corrupt the scene."
SW-PG-035,3,"Push into Sparrowhook Flight Lane and extract captured Sky Wardens or witnesses before their timelines are rewritten, using the encounter rule set: moving prisoners, fake rescue signals, and Order voice-mask decoys."
SW-PG-035,4,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Den Boots of the Dawnshield Covenant."
SW-PG-036,1,"Receive the operation directly from Torinn Rhogar and confirm that the adversary is The Order of the Epochalypse, specifically The Leash-Cutter Lodge under Handler-Magister Korr Veyth."
SW-PG-036,2,"Enter Sparrowhook Flight Lane, locate three traces of The Order of the Epochalypse activity, and stabilize the evidence before the anti-pack sigils that turn loyal escorts into isolated targets can corrupt the scene."
SW-PG-036,3,"Push into Tempest Frigate Deck and steal an Order ledger, chronal key, or black-oath cipher without triggering an era-lock, using the encounter rule set: stealth routes, rotating patrol years, alarm clocks, and optional evidence caches."
SW-PG-036,4,"Confront an operative, construct, or lieutenant-proxy from The Leash-Cutter Lodge, prevent the failure state where the ledger will burn backward into an earlier year, and extract the Order cipher intact."
SW-PG-036,5,"Return to Torinn Rhogar, deliver the sealed proof against The Order of the Epochalypse, update the Sky Warden shadow-ledger, and claim Fang Ring of the Dawnshield Covenant."
